,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,AAPL,1008,no_merge,0.14,0.76,0.1,0.03,0.15,0.2,0.3
1,AAPL,1008,merge_0,0.14,0.76,0.1,0.03,0.15,0.2,0.3
2,AAPL,1008,merge_1,0.19,0.67,0.14,0.08,-0.82,-0.76,-0.64
3,AAPL,1008,merge_2,0.24,0.62,0.14,0.15,0.24,0.32,0.48
4,AAPL,1008,merge_3,0.19,0.71,0.1,0.09,0.18,0.24,0.36
5,AAPL,1008,yesterday_strategy,0.24,0.48,0.29,-0.06,0.33,0.44,0.66
6,AAPL,1008,trend,0.52,0,0.48,0.01,0.33,0.44,0.66
7,AAPL,1050,no_merge,0.38,0.29,0.33,0.01,0.45,0.6,0.9
8,AAPL,1050,merge_0,0.38,0.29,0.33,0.01,0.45,0.6,0.9
9,AAPL,1050,merge_1,0.33,0.48,0.19,0.02,0.33,0.44,0.66
10,AAPL,1050,merge_2,0.29,0.38,0.33,0.03,0.39,0.52,0.78
11,AAPL,1050,merge_3,0.33,0.29,0.38,-0.04,0.45,0.6,0.9
12,AAPL,1050,yesterday_strategy,0.24,0.57,0.19,0.03,0.27,0.36,0.54
13,AAPL,1050,trend,0.43,0,0.57,0.03,0.27,0.36,0.54
14,AAPL,1092,no_merge,0.24,0.67,0.1,0.2,0.21,0.28,0.42
15,AAPL,1092,merge_0,0.24,0.67,0.1,0.2,0.21,0.28,0.42
16,AAPL,1092,merge_1,0.38,0.48,0.14,0.31,0.33,0.44,0.66
17,AAPL,1092,merge_2,0.24,0.62,0.14,0.1,0.24,0.32,0.48
18,AAPL,1092,merge_3,0.24,0.67,0.1,0.05,0.21,0.28,0.42
19,AAPL,1092,yesterday_strategy,0.52,0.29,0.19,0.29,0.45,0.6,0.9
20,AAPL,1092,trend,0.71,0,0.29,0.29,0.45,0.6,0.9
21,AAPL,1134,no_merge,0.24,0.62,0.14,0.15,0.24,0.32,0.48
22,AAPL,1134,merge_0,0.24,0.62,0.14,0.15,0.24,0.32,0.48
23,AAPL,1134,merge_1,0.14,0.67,0.19,-0.04,0.21,0.28,-0.64
24,AAPL,1134,merge_2,0.24,0.52,0.24,0.15,0.3,0.4,0.6
25,AAPL,1134,merge_3,0.19,0.52,0.29,-0.02,0.3,0.4,-0.46
26,AAPL,1134,yesterday_strategy,0.1,0.62,0.29,-0.11,-0.79,-0.72,-0.58
27,AAPL,1134,trend,0.43,0,0.57,-0.12,-0.76,-0.68,-0.52
28,AAPL,1176,no_merge,0.19,0.33,0.48,0.04,-0.56,-0.43,-1.23
29,AAPL,1176,merge_0,0.19,0.33,0.48,0.04,-0.56,-0.43,-1.23
30,AAPL,1176,merge_1,0.1,0.52,0.38,-0.08,-0.68,-0.59,-1.47
31,AAPL,1176,merge_2,0.29,0.24,0.48,-0.03,-0.5,-0.35,-1.11
32,AAPL,1176,merge_3,0.19,0.38,0.43,-0.04,0.39,0.52,-0.28
33,AAPL,1176,yesterday_strategy,0.24,0.48,0.29,0.12,0.33,0.44,0.66
34,AAPL,1176,trend,0.48,0,0.52,0.16,0.3,0.4,0.6
35,AAPL,1218,no_merge,0.29,0.43,0.29,0.1,0.36,0.48,-0.23
36,AAPL,1218,merge_0,0.29,0.43,0.29,0.1,0.36,0.48,-0.23
37,AAPL,1218,merge_1,0.43,0.19,0.38,0.21,0.51,0.68,0.07
38,AAPL,1218,merge_2,0.29,0.38,0.33,0.08,0.39,0.52,-0.17
39,AAPL,1218,merge_3,0.24,0.52,0.24,0.06,0.3,0.4,-0.35
40,AAPL,1218,yesterday_strategy,0.24,0.43,0.33,0.02,0.36,0.48,-0.23
41,AAPL,1218,trend,0.57,0,0.43,0.02,0.36,0.48,-0.23
42,AAPL,1260,no_merge,0.19,0.52,0.29,-0.1,-0.73,-0.64,-1.52
43,AAPL,1260,merge_0,0.19,0.52,0.29,-0.1,-0.73,-0.64,-1.52
