,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,AMGN,1008,no_merge,0.43,0.33,0.24,0.47,-0.61,-1.11,-0.87
1,AMGN,1008,merge_1,0.33,0.48,0.19,0.37,-0.7,-0.6,-0.4
2,AMGN,1008,merge_2,0.29,0.62,0.1,0.37,0.24,0.32,0.48
3,AMGN,1008,merge_3,0.29,0.62,0.1,0.37,0.24,0.32,0.48
4,AMGN,1008,yesterday_strategy,0.24,0.48,0.29,0.18,-0.55,-1.08,-0.9
5,AMGN,1008,trend,0.48,0,0.52,0.23,-0.58,-1.12,-0.96
6,AMGN,1050,no_merge,0.29,0.52,0.19,0.36,-0.73,-0.64,-0.46
7,AMGN,1050,merge_1,0.29,0.52,0.19,0.36,-0.73,-0.64,-0.46
8,AMGN,1050,merge_2,0.29,0.52,0.19,0.36,-0.73,-0.64,-0.46
9,AMGN,1050,merge_3,0.29,0.52,0.19,0.36,-0.73,-0.64,-0.46
10,AMGN,1050,yesterday_strategy,0.1,0.57,0.33,-0.08,-0.76,-0.68,-0.52
11,AMGN,1050,trend,0.38,0,0.62,-0.03,-0.79,-0.72,-0.58
12,AMGN,1092,no_merge,0.57,0.24,0.19,0.23,-0.05,0.1,-0.17
13,AMGN,1092,merge_1,0.43,0.43,0.14,0.2,-0.17,-0.06,0.16
14,AMGN,1092,merge_2,0.38,0.48,0.14,0.14,-0.2,-0.1,0.1
15,AMGN,1092,merge_3,0.38,0.48,0.14,0.14,-0.2,-0.1,0.1
16,AMGN,1092,yesterday_strategy,0.33,0.33,0.33,0.02,-0.11,0.02,-0.29
17,AMGN,1092,trend,0.67,0,0.33,-0.01,-1.14,-1.02,-1.35
18,AMGN,1134,no_merge,0.48,0.29,0.24,0.26,0.45,0.6,0.9
19,AMGN,1134,merge_1,0.48,0.43,0.1,0.29,0.36,0.48,0.72
20,AMGN,1134,merge_2,0.29,0.62,0.1,0.2,0.24,0.32,0.48
21,AMGN,1134,merge_3,0.29,0.62,0.1,0.2,0.24,0.32,0.48
22,AMGN,1134,yesterday_strategy,0.29,0.48,0.24,0.05,-0.7,-0.6,-0.4
23,AMGN,1134,trend,0.52,0,0.48,0.11,-0.7,-0.6,-0.4
24,AMGN,1176,no_merge,0.43,0.14,0.43,0.17,0.54,0.72,1.08
25,AMGN,1176,merge_1,0.33,0.48,0.19,0.22,0.33,0.44,0.66
26,AMGN,1176,merge_2,0.24,0.67,0.1,0.17,0.21,0.28,0.42
27,AMGN,1176,merge_3,0.19,0.71,0.1,0.14,0.18,0.24,0.36
28,AMGN,1176,yesterday_strategy,0.19,0.48,0.33,-0.02,0.33,0.44,0.66
29,AMGN,1176,trend,0.48,0,0.52,0.01,0.3,0.4,0.6
30,AMGN,1218,no_merge,0.48,0.19,0.33,0.09,-1.55,-1.4,-1.1
31,AMGN,1218,merge_1,0.38,0.29,0.33,0.03,-1.61,-1.48,-1.22
32,AMGN,1218,merge_2,0.33,0.33,0.33,-0.0,-1.64,-1.52,-1.28
33,AMGN,1218,merge_3,0.33,0.33,0.33,-0.0,-1.64,-1.52,-1.28
34,AMGN,1218,yesterday_strategy,0.38,0.43,0.19,0.11,-0.67,-0.56,-0.34
35,AMGN,1218,trend,0.57,0,0.43,0.09,-0.67,-0.56,-0.34
36,AMGN,1260,no_merge,0.29,0.48,0.24,0.25,0.33,0.44,0.66
37,AMGN,1260,merge_1,0.29,0.48,0.24,0.25,0.33,0.44,0.66
38,AMGN,1260,merge_2,0.29,0.48,0.24,0.25,0.33,0.44,0.66
39,AMGN,1260,merge_3,0.29,0.48,0.24,0.25,0.33,0.44,0.66
40,AMGN,1260,yesterday_strategy,0.05,0.57,0.38,-0.26,-0.76,-0.68,-0.52
41,AMGN,1260,trend,0.38,0,0.62,-0.28,-0.79,-0.72,-0.58
42,AMGN,1302,no_merge,0.29,0.71,0.0,0.35,0.18,0.24,0.36
43,AMGN,1302,merge_1,0.19,0.81,0.0,0.32,0.12,0.16,0.24
44,AMGN,1302,merge_2,0.19,0.81,0.0,0.32,0.12,0.16,0.24
45,AMGN,1302,merge_3,0.19,0.81,0.0,0.32,0.12,0.16,0.24
46,AMGN,1302,yesterday_strategy,0.33,0.48,0.19,0.22,0.33,0.44,0.66
47,AMGN,1302,trend,0.48,0,0.52,0.27,0.3,0.4,0.6
48,AMGN,1344,no_merge,0.24,0.76,0.0,0.12,0.15,0.2,0.3
49,AMGN,1344,merge_1,0.19,0.81,0.0,0.14,0.12,0.16,0.24
50,AMGN,1344,merge_2,0.19,0.81,0.0,0.14,0.12,0.16,0.24
51,AMGN,1344,merge_3,0.19,0.81,0.0,0.14,0.12,0.16,0.24
52,AMGN,1344,yesterday_strategy,0.29,0.52,0.19,0.03,-0.73,-0.64,-0.46
53,AMGN,1344,trend,0.52,0,0.48,-0.0,-0.7,-0.6,-0.4
54,AMGN,1386,no_merge,0.52,0.29,0.19,0.51,0.45,0.6,0.9
55,AMGN,1386,merge_1,0.52,0.43,0.05,0.6,0.36,0.48,0.72
56,AMGN,1386,merge_2,0.43,0.52,0.05,0.58,0.3,0.4,0.6
57,AMGN,1386,merge_3,0.43,0.52,0.05,0.58,0.3,0.4,0.6
58,AMGN,1386,yesterday_strategy,0.43,0.33,0.24,0.17,0.42,0.56,0.84
59,AMGN,1386,trend,0.62,0,0.38,0.16,0.39,0.52,0.78
60,AMGN,1428,no_merge,0.24,0.48,0.29,0.04,-0.7,-0.6,-0.4
61,AMGN,1428,merge_1,0.24,0.48,0.29,0.04,-0.7,-0.6,-0.4
62,AMGN,1428,merge_2,0.24,0.62,0.14,0.19,0.24,0.32,0.48
63,AMGN,1428,merge_3,0.24,0.62,0.14,0.19,0.24,0.32,0.48
64,AMGN,1428,yesterday_strategy,0.19,0.57,0.24,0.11,-0.76,-0.68,-0.52
65,AMGN,1428,trend,0.43,0,0.57,0.15,-0.76,-0.68,-0.52
66,AMGN,1470,no_merge,0.43,0.33,0.24,0.29,0.14,0.27,0.53
67,AMGN,1470,merge_1,0.43,0.33,0.24,0.29,0.14,0.27,0.53
68,AMGN,1470,merge_2,0.43,0.33,0.24,0.29,0.14,0.27,0.53
69,AMGN,1470,merge_3,0.43,0.33,0.24,0.29,0.14,0.27,0.53
70,AMGN,1470,yesterday_strategy,0.33,0.48,0.19,0.34,0.33,0.44,0.66
71,AMGN,1470,trend,0.48,0,0.52,0.3,0.3,0.4,0.6
