,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,AXP,1008,no_merge,0.24,0.62,0.14,-0.0,0.24,0.32,0.48
1,AXP,1008,merge_1,0.24,0.71,0.05,0.01,0.18,0.24,0.36
2,AXP,1008,merge_2,0.24,0.71,0.05,0.01,0.18,0.24,0.36
3,AXP,1008,merge_3,0.24,0.71,0.05,0.01,0.18,0.24,0.36
4,AXP,1008,yesterday_strategy,0.05,0.62,0.33,-0.17,-0.79,-0.72,-1.64
5,AXP,1008,trend,0.38,0,0.62,-0.17,-0.79,-0.72,-1.64
6,AXP,1050,no_merge,0.33,0.38,0.29,0.03,0.39,0.52,0.05
7,AXP,1050,merge_1,0.29,0.52,0.19,0.09,0.3,0.4,-0.13
8,AXP,1050,merge_2,0.29,0.52,0.19,0.09,0.3,0.4,-0.13
9,AXP,1050,merge_3,0.29,0.52,0.19,0.09,0.3,0.4,-0.13
10,AXP,1050,yesterday_strategy,0.14,0.62,0.24,-0.15,0.24,0.32,0.48
11,AXP,1050,trend,0.43,0,0.57,-0.2,0.27,0.36,0.54
12,AXP,1092,no_merge,0.38,0.57,0.05,0.23,-0.76,-0.68,-0.52
13,AXP,1092,merge_1,0.33,0.62,0.05,0.19,-0.79,-0.72,-0.58
14,AXP,1092,merge_2,0.29,0.67,0.05,0.18,-0.82,-0.76,-0.64
15,AXP,1092,merge_3,0.29,0.67,0.05,0.18,-0.82,-0.76,-0.64
16,AXP,1092,yesterday_strategy,0.38,0.38,0.24,0.13,-0.64,-0.52,-0.61
17,AXP,1092,trend,0.62,0,0.38,0.23,0.39,0.52,0.45
18,AXP,1134,no_merge,0.24,0.43,0.33,-0.22,0.36,0.48,0.72
19,AXP,1134,merge_1,0.24,0.48,0.29,-0.21,0.33,0.44,0.66
20,AXP,1134,merge_2,0.24,0.52,0.24,-0.16,0.3,0.4,0.6
21,AXP,1134,merge_3,0.24,0.52,0.24,-0.16,0.3,0.4,0.6
22,AXP,1134,yesterday_strategy,0.05,0.67,0.29,-0.07,0.21,0.28,0.42
23,AXP,1134,trend,0.33,0,0.67,-0.09,0.21,0.28,0.42
24,AXP,1176,no_merge,0.19,0.76,0.05,0.08,0.15,0.2,0.3
25,AXP,1176,merge_1,0.19,0.76,0.05,0.08,0.15,0.2,0.3
26,AXP,1176,merge_2,0.19,0.76,0.05,0.08,0.15,0.2,0.3
27,AXP,1176,merge_3,0.19,0.76,0.05,0.08,0.15,0.2,0.3
28,AXP,1176,yesterday_strategy,0.14,0.62,0.24,-0.04,-0.79,-0.72,-0.58
29,AXP,1176,trend,0.38,0,0.62,0.01,-0.79,-0.72,-0.58
30,AXP,1218,no_merge,0.24,0.67,0.1,0.14,0.21,0.28,0.42
31,AXP,1218,merge_1,0.24,0.67,0.1,0.14,0.21,0.28,0.42
32,AXP,1218,merge_2,0.19,0.71,0.1,0.09,0.18,0.24,0.36
33,AXP,1218,merge_3,0.19,0.71,0.1,0.09,0.18,0.24,0.36
34,AXP,1218,yesterday_strategy,0.33,0.43,0.24,0.06,-0.98,-0.88,-0.68
35,AXP,1218,trend,0.57,0,0.43,-0.01,-0.98,-0.88,-0.68
36,AXP,1260,no_merge,0.29,0.62,0.1,0.06,-0.57,-0.5,-0.36
37,AXP,1260,merge_1,0.29,0.67,0.05,0.08,-0.6,-0.54,-0.42
38,AXP,1260,merge_2,0.29,0.67,0.05,0.08,-0.6,-0.54,-0.42
39,AXP,1260,merge_3,0.29,0.67,0.05,0.08,-0.6,-0.54,-0.42
40,AXP,1260,yesterday_strategy,0.19,0.67,0.14,0.02,0.21,0.28,0.42
41,AXP,1260,trend,0.38,0,0.62,0.03,0.24,0.32,0.48
42,AXP,1302,no_merge,0.14,0.81,0.05,0.16,0.12,0.16,0.24
43,AXP,1302,merge_1,0.14,0.81,0.05,0.16,0.12,0.16,0.24
44,AXP,1302,merge_2,0.1,0.86,0.05,0.11,0.09,0.12,0.18
45,AXP,1302,merge_3,0.1,0.86,0.05,0.11,0.09,0.12,0.18
46,AXP,1302,yesterday_strategy,0.19,0.48,0.33,0.06,0.13,0.23,-0.41
47,AXP,1302,trend,0.48,0,0.52,0.08,0.1,0.19,-0.47
48,AXP,1344,no_merge,0.24,0.57,0.19,0.02,0.27,0.36,-0.07
49,AXP,1344,merge_1,0.19,0.67,0.14,0.04,0.21,0.28,-0.19
