day,tic,type,rmse,mape,mae,accuracy,trend_day_first,trend_day_end,trend_all_percent,first_day_trend_test,first_day_trend_pred,end_day_trend_test,end_day_trend_pred,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,colsample_bylevel,gamma
1008,AXP,best_rmse,0.9022541816414775,0.8482122098212457,0.6744110107421875,0.5,0,0,16.67,down,up,down,up,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1050,AXP,best_rmse,1.471206736263202,1.2828981851709327,1.0539093017578125,0.5,1,0,33.33,up,up,down,up,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1092,AXP,best_rmse,2.3986724328356956,2.928948727176172,2.339007568359375,0.25,1,1,66.67,up,up,up,up,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1134,AXP,best_rmse,0.6709548898941367,0.774046269945291,0.6582992553710938,0.25,1,0,16.67,down,down,down,up,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1176,AXP,best_rmse,1.124133545049393,1.1929117864964354,0.9482894897460937,0.75,1,0,50.0,down,down,down,up,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1218,AXP,best_rmse,1.5796346173249585,1.788846187381422,1.4884445190429687,0.25,0,0,0.0,up,down,up,down,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1260,AXP,best_rmse,1.1000650569311812,1.0178516883643356,0.8271087646484375,0.25,0,1,33.33,down,up,down,down,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1302,AXP,best_rmse,4.096086874999476,3.271105326207756,2.3849838256835936,0.5,1,1,50.0,up,up,up,up,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1344,AXP,best_rmse,1.4951321351878835,1.9585818155348667,1.4125823974609375,0.25,0,0,0.0,up,down,up,down,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1386,AXP,best_rmse,1.0628416600956534,1.3718385283651746,0.9697967529296875,0.5,1,0,50.0,down,down,up,down,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1428,AXP,best_rmse,0.8966301624635777,1.1085610958829946,0.7583328247070341,0.25,1,1,66.67,down,down,up,up,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1470,AXP,best_rmse,0.7768041658365075,1.021455458980786,0.6885101318359403,0.25,1,0,33.33,up,up,down,up,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1008,AXP,best_mape,0.9022541816414775,0.8482122098212457,0.6744110107421875,0.5,0,0,16.67,down,up,down,up,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1050,AXP,best_mape,1.471206736263202,1.2828981851709327,1.0539093017578125,0.5,1,0,33.33,up,up,down,up,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1092,AXP,best_mape,2.3986724328356956,2.928948727176172,2.339007568359375,0.25,1,1,66.67,up,up,up,up,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1134,AXP,best_mape,0.6709548898941367,0.774046269945291,0.6582992553710938,0.25,1,0,16.67,down,down,down,up,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1176,AXP,best_mape,1.124133545049393,1.1929117864964354,0.9482894897460937,0.75,1,0,50.0,down,down,down,up,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
