,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,BA,1008,no_merge,0.33,0.62,0.05,0.06,0.24,0.32,0.48
1,BA,1008,merge_1,0.33,0.62,0.05,0.06,0.24,0.32,0.48
2,BA,1008,merge_2,0.19,0.76,0.05,0.06,0.15,0.2,0.3
3,BA,1008,merge_3,0.19,0.76,0.05,0.06,0.15,0.2,0.3
4,BA,1008,yesterday_strategy,0.33,0.48,0.19,0.04,-0.32,-0.22,-0.02
5,BA,1008,trend,0.48,0,0.52,0.2,0.3,0.4,0.6
6,BA,1050,no_merge,0.33,0.62,0.05,0.13,-0.09,-0.02,0.12
7,BA,1050,merge_1,0.29,0.71,0.0,0.19,0.18,0.24,0.36
8,BA,1050,merge_2,0.24,0.76,0.0,0.13,0.15,0.2,0.3
9,BA,1050,merge_3,0.24,0.76,0.0,0.13,0.15,0.2,0.3
10,BA,1050,yesterday_strategy,0.29,0.52,0.19,-0.11,-0.03,0.06,0.24
11,BA,1050,trend,0.52,0,0.48,0.19,-0.0,0.1,0.3
12,BA,1092,no_merge,0.38,0.48,0.14,0.11,0.15,0.25,0.45
13,BA,1092,merge_1,0.33,0.52,0.14,0.09,0.12,0.21,0.39
14,BA,1092,merge_2,0.33,0.67,0.0,0.12,0.21,0.28,0.42
15,BA,1092,merge_3,0.33,0.67,0.0,0.12,0.21,0.28,0.42
16,BA,1092,yesterday_strategy,0.48,0.33,0.19,0.08,0.42,0.56,0.84
17,BA,1092,trend,0.62,0,0.38,0.26,0.39,0.52,0.78
18,BA,1134,no_merge,0.19,0.67,0.14,0.15,0.21,0.28,0.42
19,BA,1134,merge_1,0.19,0.71,0.1,0.1,0.18,0.24,0.36
20,BA,1134,merge_2,0.19,0.71,0.1,0.1,0.18,0.24,0.36
21,BA,1134,merge_3,0.19,0.71,0.1,0.1,0.18,0.24,0.36
22,BA,1134,yesterday_strategy,0.19,0.67,0.14,-0.04,-0.75,-0.69,-0.57
23,BA,1134,trend,0.29,0,0.71,0.21,0.18,0.24,0.36
24,BA,1176,no_merge,0.38,0.52,0.1,0.14,0.08,0.17,0.35
25,BA,1176,merge_1,0.38,0.52,0.1,0.14,0.08,0.17,0.35
26,BA,1176,merge_2,0.33,0.62,0.05,0.14,0.02,0.09,0.23
27,BA,1176,merge_3,0.33,0.62,0.05,0.14,0.02,0.09,0.23
28,BA,1176,yesterday_strategy,0.29,0.48,0.24,-0.09,0.11,0.21,0.41
29,BA,1176,trend,0.48,0,0.52,0.29,0.08,0.17,0.35
30,BA,1218,no_merge,0.24,0.62,0.14,0.06,0.24,0.32,0.48
31,BA,1218,merge_1,0.24,0.62,0.14,0.06,0.24,0.32,0.48
32,BA,1218,merge_2,0.1,0.9,0.0,0.08,0.06,0.08,0.12
33,BA,1218,merge_3,0.1,0.9,0.0,0.08,0.06,0.08,0.12
34,BA,1218,yesterday_strategy,0.48,0.33,0.19,0.3,0.01,0.14,0.4
35,BA,1218,trend,0.62,0,0.38,0.41,0.39,0.52,0.78
36,BA,1260,no_merge,0.38,0.43,0.19,0.66,0.36,0.48,0.72
37,BA,1260,merge_1,0.38,0.43,0.19,0.66,0.36,0.48,0.72
38,BA,1260,merge_2,0.38,0.48,0.14,0.65,0.33,0.44,0.66
39,BA,1260,merge_3,0.38,0.48,0.14,0.65,0.33,0.44,0.66
40,BA,1260,yesterday_strategy,0.29,0.52,0.19,0.47,0.3,0.4,0.6
41,BA,1260,trend,0.52,0,0.48,0.72,0.33,0.44,0.66
42,BA,1302,no_merge,0.38,0.52,0.1,0.19,0.3,0.4,0.6
43,BA,1302,merge_1,0.24,0.76,0.0,0.24,0.15,0.2,0.3
44,BA,1302,merge_2,0.19,0.81,0.0,0.15,0.12,0.16,0.24
45,BA,1302,merge_3,0.19,0.81,0.0,0.15,0.12,0.16,0.24
46,BA,1302,yesterday_strategy,0.19,0.52,0.29,0.05,-2.57,-2.49,-2.33
47,BA,1302,trend,0.48,0,0.52,0.38,0.3,0.4,0.6
48,BA,1344,no_merge,0.43,0.38,0.19,0.19,0.39,0.52,0.78
49,BA,1344,merge_1,0.43,0.38,0.19,0.19,0.39,0.52,0.78
50,BA,1344,merge_2,0.43,0.43,0.14,0.18,0.36,0.48,0.72
51,BA,1344,merge_3,0.43,0.43,0.14,0.18,0.36,0.48,0.72
52,BA,1344,yesterday_strategy,0.24,0.48,0.29,-0.01,-2.81,-2.72,-2.54
53,BA,1344,trend,0.52,0,0.48,0.23,0.33,0.44,0.66
54,BA,1386,no_merge,0.48,0.29,0.24,0.05,-0.16,-0.02,0.26
55,BA,1386,merge_1,0.48,0.29,0.24,0.05,-0.16,-0.02,0.26
56,BA,1386,merge_2,0.48,0.43,0.1,0.09,-0.25,-0.14,0.08
57,BA,1386,merge_3,0.48,0.43,0.1,0.09,-0.25,-0.14,0.08
58,BA,1386,yesterday_strategy,0.24,0.48,0.29,0.07,-0.28,-0.18,0.02
59,BA,1386,trend,0.48,0,0.52,0.13,0.3,0.4,0.6
60,BA,1428,no_merge,0.43,0.33,0.24,0.25,0.42,-0.45,-0.19
61,BA,1428,merge_1,0.43,0.33,0.24,0.25,0.42,-0.45,-0.19
62,BA,1428,merge_2,0.38,0.38,0.24,0.23,0.39,-0.49,-0.25
63,BA,1428,merge_3,0.38,0.38,0.24,0.23,0.39,-0.49,-0.25
64,BA,1428,yesterday_strategy,0.24,0.48,0.29,-0.14,0.33,-2.39,-2.21
