,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,CAT,1008,no_merge,0.19,0.52,0.29,-0.17,0.3,0.4,0.6
1,CAT,1008,merge_0,0.19,0.52,0.29,-0.17,0.3,0.4,0.6
2,CAT,1008,merge_1,0.29,0.48,0.24,0.0,0.33,0.44,0.66
3,CAT,1008,merge_2,0.24,0.52,0.24,-0.11,0.3,0.4,0.6
4,CAT,1008,merge_3,0.24,0.38,0.38,-0.14,0.39,0.52,0.78
5,CAT,1008,yesterday_strategy,0.29,0.48,0.24,0.08,0.33,0.44,0.66
6,CAT,1008,trend,0.52,0,0.48,0.08,0.33,0.44,0.66
7,CAT,1050,no_merge,0.19,0.67,0.14,-0.01,0.21,0.28,0.42
8,CAT,1050,merge_0,0.19,0.67,0.14,-0.01,0.21,0.28,0.42
9,CAT,1050,merge_1,0.24,0.52,0.24,0.09,0.3,0.4,0.6
10,CAT,1050,merge_2,0.38,0.48,0.14,0.19,0.33,0.44,0.66
11,CAT,1050,merge_3,0.24,0.62,0.14,-0.01,0.24,0.32,0.48
12,CAT,1050,yesterday_strategy,0.19,0.48,0.33,0.04,-0.47,-0.37,-0.17
13,CAT,1050,trend,0.52,0,0.48,0.04,-0.47,-0.37,-0.17
14,CAT,1092,no_merge,0.19,0.67,0.14,0.01,-0.82,-0.76,-0.64
15,CAT,1092,merge_0,0.19,0.67,0.14,0.01,-0.82,-0.76,-0.64
16,CAT,1092,merge_1,0.14,0.57,0.29,-0.03,0.27,0.36,0.54
17,CAT,1092,merge_2,0.19,0.76,0.05,0.09,0.15,0.2,0.3
18,CAT,1092,merge_3,0.14,0.71,0.14,-0.04,-0.85,-0.8,-0.7
19,CAT,1092,yesterday_strategy,0.38,0.38,0.24,0.03,-0.64,-0.52,-0.28
20,CAT,1092,trend,0.62,0,0.38,0.14,-0.64,-0.52,-0.28
21,CAT,1134,no_merge,0.14,0.67,0.19,0.01,0.21,0.28,0.42
22,CAT,1134,merge_0,0.14,0.67,0.19,0.01,0.21,0.28,0.42
23,CAT,1134,merge_1,0.19,0.67,0.14,0.04,0.21,0.28,0.42
24,CAT,1134,merge_2,0.1,0.71,0.19,-0.07,0.18,0.24,0.36
25,CAT,1134,merge_3,0.19,0.62,0.19,0.07,0.24,0.32,0.48
26,CAT,1134,yesterday_strategy,0.24,0.57,0.19,0.05,0.27,0.36,0.54
27,CAT,1134,trend,0.48,0,0.52,0.07,0.3,0.4,0.6
28,CAT,1176,no_merge,0.29,0.29,0.43,-0.2,0.45,0.6,0.9
29,CAT,1176,merge_0,0.29,0.29,0.43,-0.2,0.45,0.6,0.9
30,CAT,1176,merge_1,0.0,0.95,0.05,-0.03,0.03,0.04,0.06
31,CAT,1176,merge_2,0.1,0.67,0.24,-0.09,0.21,0.28,0.42
32,CAT,1176,merge_3,0.24,0.38,0.38,-0.16,0.39,0.52,0.78
33,CAT,1176,yesterday_strategy,0.14,0.62,0.24,-0.09,0.14,0.21,0.35
34,CAT,1176,trend,0.43,0,0.57,-0.12,0.17,0.25,0.41
35,CAT,1218,no_merge,0.38,0.38,0.24,0.12,0.39,0.52,0.78
36,CAT,1218,merge_0,0.38,0.38,0.24,0.12,0.39,0.52,0.78
37,CAT,1218,merge_1,0.38,0.48,0.14,0.21,0.33,0.44,0.66
38,CAT,1218,merge_2,0.43,0.38,0.19,0.24,0.39,0.52,0.78
39,CAT,1218,merge_3,0.29,0.52,0.19,0.09,0.3,0.4,0.6
40,CAT,1218,yesterday_strategy,0.38,0.38,0.24,0.1,0.39,0.52,0.78
41,CAT,1218,trend,0.62,0,0.38,0.1,0.39,0.52,0.78
42,CAT,1260,no_merge,0.19,0.52,0.29,-0.08,0.3,0.4,-0.42
43,CAT,1260,merge_0,0.19,0.52,0.29,-0.08,0.3,0.4,-0.42
44,CAT,1260,merge_1,0.14,0.62,0.24,-0.03,0.24,0.32,-0.54
45,CAT,1260,merge_2,0.33,0.33,0.33,0.05,0.42,0.56,-0.18
46,CAT,1260,merge_3,0.29,0.38,0.33,0.03,0.39,0.52,-0.24
47,CAT,1260,yesterday_strategy,0.24,0.52,0.24,0.03,0.3,0.4,0.6
48,CAT,1260,trend,0.52,0,0.48,-0.02,0.33,0.44,0.66
49,CAT,1302,no_merge,0.24,0.29,0.48,-0.11,-1.71,-1.59,-1.35
50,CAT,1302,merge_0,0.24,0.29,0.48,-0.11,-1.71,-1.59,-1.35
51,CAT,1302,merge_1,0.29,0.33,0.38,-0.04,-1.74,-1.63,-1.41
52,CAT,1302,merge_2,0.19,0.38,0.43,-0.11,-1.18,-1.07,-0.85
53,CAT,1302,merge_3,0.19,0.43,0.38,-0.08,-0.77,-0.67,-0.47
54,CAT,1302,yesterday_strategy,0.14,0.57,0.29,-0.14,-3.2,-3.15,-3.05
55,CAT,1302,trend,0.38,0,0.62,-0.12,-3.23,-3.19,-3.11
56,CAT,1344,no_merge,0.24,0.29,0.48,-0.06,-0.68,-0.55,-0.29
57,CAT,1344,merge_0,0.24,0.29,0.48,-0.06,-0.68,-0.55,-0.29
58,CAT,1344,merge_1,0.24,0.24,0.52,-0.03,-0.65,-0.51,-0.23
59,CAT,1344,merge_2,0.19,0.38,0.43,-0.08,-0.74,-0.63,-0.41
60,CAT,1344,merge_3,0.19,0.29,0.52,-0.09,-0.68,-0.55,-0.29
61,CAT,1344,yesterday_strategy,0.1,0.76,0.14,-0.08,-0.62,-0.58,-0.5
62,CAT,1344,trend,0.29,0,0.71,-0.02,-0.59,-0.54,-0.44
63,CAT,1386,no_merge,0.24,0.52,0.24,0.06,-0.73,-0.64,-0.46
64,CAT,1386,merge_0,0.24,0.52,0.24,0.06,-0.73,-0.64,-0.46
65,CAT,1386,merge_1,0.14,0.67,0.19,-0.12,-0.82,-0.76,-0.64
66,CAT,1386,merge_2,0.19,0.57,0.24,-0.03,-0.76,-0.68,-0.52
67,CAT,1386,merge_3,0.24,0.67,0.1,0.17,-0.82,-0.76,-0.64
68,CAT,1386,yesterday_strategy,0.24,0.62,0.14,0.13,0.24,0.32,0.48
69,CAT,1386,trend,0.43,0,0.57,0.1,0.27,0.36,0.54
70,CAT,1428,no_merge,0.38,0.38,0.24,0.52,0.39,0.52,0.34
71,CAT,1428,merge_0,0.38,0.38,0.24,0.52,0.39,0.52,0.34
72,CAT,1428,merge_1,0.29,0.43,0.29,0.33,0.36,0.48,0.72
73,CAT,1428,merge_2,0.29,0.52,0.19,0.44,0.3,0.4,0.16
74,CAT,1428,merge_3,0.29,0.43,0.29,0.45,0.36,0.48,0.28
75,CAT,1428,yesterday_strategy,0.29,0.52,0.19,0.18,0.3,0.4,0.6
76,CAT,1428,trend,0.48,0,0.52,0.4,0.3,0.4,0.6
77,CAT,1470,no_merge,0.48,0.24,0.29,0.22,0.48,0.64,0.96
78,CAT,1470,merge_0,0.48,0.24,0.29,0.22,0.48,0.64,0.96
79,CAT,1470,merge_1,0.33,0.52,0.14,0.18,0.3,0.4,0.6
80,CAT,1470,merge_2,0.38,0.43,0.19,0.24,0.36,0.48,0.72
81,CAT,1470,merge_3,0.29,0.62,0.1,0.19,0.24,0.32,0.48
82,CAT,1470,yesterday_strategy,0.29,0.48,0.24,-0.01,0.33,0.44,0.66
83,CAT,1470,trend,0.57,0,0.43,-0.06,0.36,0.48,0.72
