,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,CRM,1008,no_merge,0.29,0.62,0.1,0.6,0.24,0.32,0.48
1,CRM,1008,merge_0,0.29,0.62,0.1,0.6,0.24,0.32,0.48
2,CRM,1008,merge_1,0.43,0.38,0.19,0.69,-0.64,-0.52,-0.28
3,CRM,1008,merge_2,0.19,0.67,0.14,0.43,-0.82,-0.76,-0.64
4,CRM,1008,merge_3,0.14,0.76,0.1,0.39,0.15,0.2,0.3
5,CRM,1008,yesterday_strategy,0.29,0.43,0.29,0.11,-0.67,-0.56,-0.34
6,CRM,1008,trend,0.62,0,0.38,0.23,-0.64,-0.52,-0.28
7,CRM,1050,no_merge,0.33,0.24,0.43,0.2,0.48,0.64,0.96
8,CRM,1050,merge_0,0.33,0.24,0.43,0.2,0.48,0.64,0.96
9,CRM,1050,merge_1,0.29,0.38,0.33,0.22,0.39,0.52,0.78
10,CRM,1050,merge_2,0.24,0.43,0.33,0.13,0.36,0.48,0.72
11,CRM,1050,merge_3,0.33,0.29,0.38,0.25,0.45,0.6,0.9
12,CRM,1050,yesterday_strategy,0.1,0.67,0.24,-0.03,0.21,0.28,0.42
13,CRM,1050,trend,0.33,0,0.67,-0.03,0.21,0.28,0.42
14,CRM,1092,no_merge,0.29,0.48,0.24,0.31,0.33,0.44,0.66
15,CRM,1092,merge_0,0.29,0.48,0.24,0.31,0.33,0.44,0.66
16,CRM,1092,merge_1,0.38,0.24,0.38,0.45,0.48,0.64,0.96
17,CRM,1092,merge_2,0.29,0.38,0.33,0.22,0.39,0.52,0.78
18,CRM,1092,merge_3,0.24,0.48,0.29,0.15,0.33,0.44,0.66
19,CRM,1092,yesterday_strategy,0.19,0.57,0.24,0.2,0.27,0.36,0.54
20,CRM,1092,trend,0.48,0,0.52,0.19,0.3,0.4,0.6
21,CRM,1134,no_merge,0.33,0.43,0.24,0.05,-0.34,-0.23,-0.01
