,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,CVX,1008,no_merge,0.14,0.71,0.14,-0.15,-1.84,-1.79,-1.69
1,CVX,1008,merge_1,0.1,0.86,0.05,-0.01,0.09,0.12,0.18
2,CVX,1008,merge_2,0.1,0.9,0.0,0.02,0.06,0.08,0.12
3,CVX,1008,merge_3,0.05,0.95,0.0,-0.01,0.03,0.04,0.06
4,CVX,1008,yesterday_strategy,0.14,0.57,0.29,-0.26,-3.95,-3.89,-3.77
5,CVX,1008,trend,0.43,0,0.57,0.03,0.27,0.36,0.54
6,CVX,1050,no_merge,0.19,0.71,0.1,0.05,-0.47,-0.42,-0.32
7,CVX,1050,merge_1,0.19,0.71,0.1,0.05,-0.47,-0.42,-0.32
8,CVX,1050,merge_2,0.1,0.81,0.1,-0.0,-0.53,-0.5,-0.44
9,CVX,1050,merge_3,0.1,0.81,0.1,-0.0,-0.53,-0.5,-0.44
10,CVX,1050,yesterday_strategy,0.48,0.29,0.24,-0.09,-0.2,-0.06,0.22
11,CVX,1050,trend,0.71,0,0.29,0.22,0.45,0.6,0.9
12,CVX,1092,no_merge,0.24,0.57,0.19,0.02,-0.02,0.06,0.22
13,CVX,1092,merge_1,0.19,0.67,0.14,0.05,0.21,0.28,0.42
14,CVX,1092,merge_2,0.14,0.71,0.14,0.04,0.18,0.24,0.36
15,CVX,1092,merge_3,0.14,0.71,0.14,0.04,0.18,0.24,0.36
16,CVX,1092,yesterday_strategy,0.1,0.62,0.29,-0.1,0.24,0.32,0.48
17,CVX,1092,trend,0.33,0,0.67,0.09,-0.08,-0.02,0.1
18,CVX,1134,no_merge,0.38,0.43,0.19,0.23,0.36,0.48,0.72
19,CVX,1134,merge_1,0.38,0.48,0.14,0.23,0.33,0.44,0.66
20,CVX,1134,merge_2,0.38,0.48,0.14,0.23,0.33,0.44,0.66
21,CVX,1134,merge_3,0.38,0.48,0.14,0.23,0.33,0.44,0.66
22,CVX,1134,yesterday_strategy,0.19,0.52,0.29,0.01,-0.48,-0.39,-0.21
