,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,DIS,1008,no_merge,0.29,0.52,0.19,0.18,0.03,0.12,0.3
1,DIS,1008,merge_1,0.29,0.52,0.19,0.18,0.03,0.12,0.3
2,DIS,1008,merge_2,0.29,0.52,0.19,0.18,0.03,0.12,0.3
3,DIS,1008,merge_3,0.29,0.52,0.19,0.18,0.03,0.12,0.3
4,DIS,1008,yesterday_strategy,0.05,0.67,0.29,-0.08,0.21,0.28,0.42
5,DIS,1008,trend,0.33,0,0.67,0.29,0.21,0.28,0.42
6,DIS,1050,no_merge,0.43,0.57,0.0,0.23,0.27,0.36,0.54
7,DIS,1050,merge_1,0.43,0.57,0.0,0.23,0.27,0.36,0.54
8,DIS,1050,merge_2,0.43,0.57,0.0,0.23,0.27,0.36,0.54
9,DIS,1050,merge_3,0.43,0.57,0.0,0.23,0.27,0.36,0.54
10,DIS,1050,yesterday_strategy,0.33,0.43,0.24,-0.27,0.36,0.48,-1.0
11,DIS,1050,trend,0.57,0,0.43,0.23,0.36,0.48,0.72
12,DIS,1092,no_merge,0.57,0.33,0.1,0.29,0.42,0.56,0.84
13,DIS,1092,merge_1,0.57,0.33,0.1,0.29,0.42,0.56,0.84
14,DIS,1092,merge_2,0.52,0.38,0.1,0.28,0.39,0.52,0.78
15,DIS,1092,merge_3,0.48,0.43,0.1,0.24,0.36,0.48,0.72
16,DIS,1092,yesterday_strategy,0.38,0.38,0.24,0.17,0.39,0.52,0.03
17,DIS,1092,trend,0.62,0,0.38,0.36,0.39,0.52,0.78
18,DIS,1134,no_merge,0.38,0.1,0.52,0.01,-0.71,-1.37,-1.03
19,DIS,1134,merge_1,0.38,0.14,0.48,0.08,-0.74,-1.41,-1.09
20,DIS,1134,merge_2,0.38,0.14,0.48,0.08,-0.74,-1.41,-1.09
21,DIS,1134,merge_3,0.38,0.14,0.48,0.08,-0.74,-1.41,-1.09
22,DIS,1134,yesterday_strategy,0.0,0.62,0.38,-0.14,-1.04,-1.81,-1.69
23,DIS,1134,trend,0.38,0,0.62,0.22,0.24,0.32,0.48
24,DIS,1176,no_merge,0.33,0.48,0.19,0.05,0.33,0.44,0.66
25,DIS,1176,merge_1,0.24,0.62,0.14,0.03,0.24,0.32,0.48
26,DIS,1176,merge_2,0.19,0.71,0.1,0.05,0.18,0.24,0.36
27,DIS,1176,merge_3,0.19,0.71,0.1,0.05,0.18,0.24,0.36
28,DIS,1176,yesterday_strategy,0.29,0.43,0.29,-0.23,0.36,0.48,0.72
29,DIS,1176,trend,0.52,0,0.48,0.24,0.33,0.44,0.66
30,DIS,1218,no_merge,0.43,0.57,0.0,0.15,-0.48,-0.41,-0.27
31,DIS,1218,merge_1,0.43,0.57,0.0,0.15,-0.48,-0.41,-0.27
32,DIS,1218,merge_2,0.33,0.67,0.0,0.11,-0.48,-0.42,-0.3
33,DIS,1218,merge_3,0.33,0.67,0.0,0.11,-0.48,-0.42,-0.3
34,DIS,1218,yesterday_strategy,0.43,0.38,0.19,0.18,-1.4,-1.28,-1.04
35,DIS,1218,trend,0.62,0,0.38,0.18,-0.36,-0.25,-0.03
36,DIS,1260,no_merge,0.52,0.38,0.1,0.19,0.39,0.52,0.78
37,DIS,1260,merge_1,0.48,0.48,0.05,0.2,0.33,0.44,0.66
38,DIS,1260,merge_2,0.48,0.48,0.05,0.2,0.33,0.44,0.66
39,DIS,1260,merge_3,0.48,0.48,0.05,0.2,0.33,0.44,0.66
40,DIS,1260,yesterday_strategy,0.29,0.48,0.24,0.04,0.33,0.44,0.66
41,DIS,1260,trend,0.57,0,0.43,0.22,0.36,0.48,0.72
