,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,GS,1008,no_merge,0.19,0.76,0.05,0.05,-0.82,-0.78,-0.7
1,GS,1008,merge_1,0.14,0.81,0.05,0.02,-0.85,-0.82,-0.76
2,GS,1008,merge_2,0.14,0.81,0.05,0.02,-0.85,-0.82,-0.76
3,GS,1008,merge_3,0.14,0.81,0.05,0.02,-0.85,-0.82,-0.76
4,GS,1008,yesterday_strategy,0.1,0.52,0.38,-0.22,-3.73,-3.67,-3.55
5,GS,1008,trend,0.48,0,0.52,-0.22,-3.73,-3.67,-3.55
6,GS,1050,no_merge,0.24,0.71,0.05,0.07,0.18,0.24,0.36
7,GS,1050,merge_1,0.24,0.76,0.0,0.12,0.15,0.2,0.3
8,GS,1050,merge_2,0.24,0.76,0.0,0.12,0.15,0.2,0.3
9,GS,1050,merge_3,0.24,0.76,0.0,0.12,0.15,0.2,0.3
10,GS,1050,yesterday_strategy,0.43,0.43,0.14,0.07,0.36,0.48,0.72
11,GS,1050,trend,0.52,0,0.48,0.07,0.33,0.44,0.66
12,GS,1092,no_merge,0.43,0.52,0.05,0.29,0.3,0.4,0.6
13,GS,1092,merge_1,0.43,0.52,0.05,0.29,0.3,0.4,0.6
14,GS,1092,merge_2,0.29,0.67,0.05,0.16,0.21,0.28,0.42
15,GS,1092,merge_3,0.29,0.67,0.05,0.16,0.21,0.28,0.42
16,GS,1092,yesterday_strategy,0.33,0.48,0.19,0.15,0.33,0.44,0.66
17,GS,1092,trend,0.57,0,0.43,0.15,0.36,0.48,0.72
18,GS,1134,no_merge,0.48,0.33,0.19,0.28,0.42,0.56,0.44
19,GS,1134,merge_1,0.48,0.33,0.19,0.28,0.42,0.56,0.44
20,GS,1134,merge_2,0.43,0.38,0.19,0.21,0.39,0.52,0.38
21,GS,1134,merge_3,0.43,0.38,0.19,0.21,0.39,0.52,0.38
22,GS,1134,yesterday_strategy,0.29,0.48,0.24,0.07,-0.4,-0.3,-0.1
23,GS,1134,trend,0.52,0,0.48,0.05,0.33,0.44,0.66
24,GS,1176,no_merge,0.33,0.33,0.33,0.19,0.42,0.56,0.84
25,GS,1176,merge_1,0.29,0.48,0.24,0.19,0.33,0.44,0.66
26,GS,1176,merge_2,0.29,0.48,0.24,0.19,0.33,0.44,0.66
27,GS,1176,merge_3,0.29,0.48,0.24,0.19,0.33,0.44,0.66
28,GS,1176,yesterday_strategy,0.29,0.48,0.24,0.15,0.33,0.44,0.66
29,GS,1176,trend,0.57,0,0.43,0.24,0.36,0.48,0.72
30,GS,1218,no_merge,0.38,0.1,0.52,-0.07,-1.09,-0.92,-0.58
31,GS,1218,merge_1,0.38,0.1,0.52,-0.07,-1.09,-0.92,-0.58
32,GS,1218,merge_2,0.38,0.14,0.48,-0.05,-1.12,-0.96,-0.64
33,GS,1218,merge_3,0.38,0.14,0.48,-0.05,-1.12,-0.96,-0.64
34,GS,1218,yesterday_strategy,0.1,0.62,0.29,-0.11,-0.65,-0.58,-0.44
35,GS,1218,trend,0.38,0,0.62,-0.1,-0.65,-0.58,-0.44
36,GS,1260,no_merge,0.33,0.29,0.38,0.31,0.45,0.6,0.9
37,GS,1260,merge_1,0.33,0.29,0.38,0.31,0.45,0.6,0.9
38,GS,1260,merge_2,0.24,0.52,0.24,0.29,0.3,0.4,0.6
39,GS,1260,merge_3,0.24,0.57,0.19,0.34,0.27,0.36,0.54
40,GS,1260,yesterday_strategy,0.14,0.67,0.19,0.06,0.21,0.28,0.42
41,GS,1260,trend,0.33,0,0.67,0.11,0.21,0.28,0.42
42,GS,1302,no_merge,0.43,0.29,0.29,0.4,-0.51,-0.37,-0.09
43,GS,1302,merge_1,0.43,0.29,0.29,0.4,-0.51,-0.37,-0.09
44,GS,1302,merge_2,0.38,0.38,0.24,0.36,-0.57,-0.45,-0.21
45,GS,1302,merge_3,0.38,0.38,0.24,0.36,-0.57,-0.45,-0.21
46,GS,1302,yesterday_strategy,0.1,0.52,0.38,-0.04,-0.66,-0.57,-0.39
47,GS,1302,trend,0.48,0,0.52,-0.03,-0.66,-0.57,-0.39
48,GS,1344,no_merge,0.48,0.29,0.24,0.23,-0.13,0.01,0.29
49,GS,1344,merge_1,0.48,0.29,0.24,0.23,-0.13,0.01,0.29
50,GS,1344,merge_2,0.48,0.33,0.19,0.26,0.42,0.56,0.84
51,GS,1344,merge_3,0.48,0.33,0.19,0.26,0.42,0.56,0.84
52,GS,1344,yesterday_strategy,0.33,0.43,0.24,0.14,-0.22,-0.11,0.11
53,GS,1344,trend,0.62,0,0.38,0.14,-0.19,-0.07,0.17
54,GS,1386,no_merge,0.24,0.62,0.14,0.1,0.24,0.01,0.15
55,GS,1386,merge_1,0.24,0.67,0.1,0.11,0.21,-0.03,0.09
56,GS,1386,merge_2,0.24,0.67,0.1,0.11,0.21,-0.03,0.09
57,GS,1386,merge_3,0.24,0.67,0.1,0.11,0.21,-0.03,0.09
58,GS,1386,yesterday_strategy,0.29,0.48,0.24,-0.08,0.33,-0.91,-0.73
59,GS,1386,trend,0.57,0,0.43,-0.11,0.36,-0.87,-0.67
60,GS,1428,no_merge,0.33,0.52,0.14,0.05,0.3,0.4,0.6
61,GS,1428,merge_1,0.24,0.71,0.05,0.06,0.18,0.24,0.36
62,GS,1428,merge_2,0.14,0.81,0.05,0.08,0.12,0.16,0.24
63,GS,1428,merge_3,0.14,0.81,0.05,0.08,0.12,0.16,0.24
64,GS,1428,yesterday_strategy,0.19,0.52,0.29,-0.03,-0.73,-0.64,-0.46
65,GS,1428,trend,0.48,0,0.52,0.04,-0.73,-0.64,-0.46
66,GS,1470,no_merge,0.29,0.67,0.05,0.16,0.21,0.28,0.42
67,GS,1470,merge_1,0.24,0.71,0.05,0.17,0.18,0.24,0.36
68,GS,1470,merge_2,0.19,0.76,0.05,0.14,0.15,0.2,0.3
69,GS,1470,merge_3,0.19,0.76,0.05,0.14,0.15,0.2,0.3
70,GS,1470,yesterday_strategy,0.24,0.48,0.29,-0.05,0.33,0.44,0.66
71,GS,1470,trend,0.48,0,0.52,-0.08,0.3,0.4,0.6
