,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,HD,1008,no_merge,0.29,0.38,0.33,-0.11,0.39,0.09,-0.14
1,HD,1008,merge_0,0.29,0.38,0.33,-0.11,0.39,0.09,-0.14
2,HD,1008,merge_1,0.14,0.57,0.29,-0.11,0.27,0.36,0.08
3,HD,1008,merge_2,0.29,0.43,0.29,-0.08,0.36,0.05,-0.2
4,HD,1008,merge_3,0.24,0.52,0.24,-0.08,0.3,-0.03,0.15
5,HD,1008,yesterday_strategy,0.14,0.57,0.29,-0.11,0.27,0.36,0.08
6,HD,1008,trend,0.48,0,0.52,-0.14,0.3,0.4,0.14
7,HD,1050,no_merge,0.24,0.33,0.43,-0.22,-0.61,-0.48,-1.0
8,HD,1050,merge_0,0.24,0.33,0.43,-0.22,-0.61,-0.48,-1.0
9,HD,1050,merge_1,0.24,0.43,0.33,-0.14,-0.67,-0.56,-1.12
10,HD,1050,merge_2,0.14,0.52,0.33,-0.19,-0.73,-0.64,-1.24
11,HD,1050,merge_3,0.19,0.38,0.43,-0.23,-0.64,-0.52,-1.06
12,HD,1050,yesterday_strategy,0.14,0.67,0.19,-0.06,-0.82,-0.76,-0.64
13,HD,1050,trend,0.33,0,0.67,-0.06,-0.82,-0.76,-0.64
14,HD,1092,no_merge,0.48,0.38,0.14,0.1,0.39,0.52,0.78
15,HD,1092,merge_0,0.48,0.38,0.14,0.1,0.39,0.52,0.78
16,HD,1092,merge_1,0.52,0.33,0.14,0.2,0.42,0.56,0.84
17,HD,1092,merge_2,0.33,0.48,0.19,-0.02,0.33,0.44,-0.4
18,HD,1092,merge_3,0.48,0.38,0.14,0.11,0.39,0.52,0.78
19,HD,1092,yesterday_strategy,0.43,0.33,0.24,0.12,0.42,0.56,-0.22
20,HD,1092,trend,0.71,0,0.29,0.11,0.45,0.6,-0.16
21,HD,1134,no_merge,0.43,0.38,0.19,0.07,0.39,0.52,0.78
22,HD,1134,merge_0,0.43,0.38,0.19,0.07,0.39,0.52,0.78
23,HD,1134,merge_1,0.33,0.38,0.29,0.02,0.39,0.52,0.78
24,HD,1134,merge_2,0.29,0.57,0.14,0.07,0.27,0.36,0.54
25,HD,1134,merge_3,0.29,0.43,0.29,-0.05,0.36,0.48,0.72
26,HD,1134,yesterday_strategy,0.29,0.48,0.24,-0.06,-0.07,0.03,0.23
27,HD,1134,trend,0.57,0,0.43,-0.05,-0.04,0.07,0.29
