,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,HON,1008,no_merge,0.38,0.38,0.24,0.02,0.39,0.52,0.78
1,HON,1008,merge_0,0.38,0.38,0.24,0.02,0.39,0.52,0.78
2,HON,1008,merge_1,0.24,0.52,0.24,-0.07,0.3,0.4,0.6
3,HON,1008,merge_2,0.38,0.38,0.24,0.02,0.39,0.52,0.78
4,HON,1008,merge_3,0.48,0.29,0.24,0.04,0.45,0.6,0.9
5,HON,1008,yesterday_strategy,0.38,0.43,0.19,-0.02,0.36,0.48,0.72
6,HON,1008,trend,0.62,0,0.38,0.02,0.39,0.52,0.78
7,HON,1050,no_merge,0.29,0.52,0.19,-0.08,0.3,0.4,0.6
8,HON,1050,merge_0,0.29,0.52,0.19,-0.08,0.3,0.4,0.6
9,HON,1050,merge_1,0.33,0.48,0.19,-0.06,0.33,0.44,0.66
10,HON,1050,merge_2,0.29,0.52,0.19,-0.08,0.3,0.4,0.6
11,HON,1050,merge_3,0.33,0.52,0.14,-0.02,0.3,0.4,0.6
12,HON,1050,yesterday_strategy,0.24,0.52,0.24,-0.01,0.3,0.4,0.6
13,HON,1050,trend,0.48,0,0.52,-0.01,0.3,0.4,0.6
14,HON,1092,no_merge,0.33,0.57,0.1,0.1,0.27,0.36,0.54
15,HON,1092,merge_0,0.33,0.57,0.1,0.1,0.27,0.36,0.54
16,HON,1092,merge_1,0.43,0.57,0.0,0.18,0.27,0.36,0.54
17,HON,1092,merge_2,0.38,0.52,0.1,0.11,0.3,0.4,0.6
18,HON,1092,merge_3,0.38,0.52,0.1,0.1,0.3,0.4,0.6
19,HON,1092,yesterday_strategy,0.62,0.24,0.14,0.06,0.48,0.64,0.8
20,HON,1092,trend,0.76,0,0.24,0.15,0.48,0.64,0.8
21,HON,1134,no_merge,0.19,0.52,0.29,-0.06,-0.53,-0.44,-1.32
22,HON,1134,merge_0,0.19,0.52,0.29,-0.06,-0.53,-0.44,-1.32
23,HON,1134,merge_1,0.19,0.48,0.33,-0.14,-0.5,-0.4,-1.26
24,HON,1134,merge_2,0.14,0.57,0.29,-0.05,-0.56,-0.48,-1.38
25,HON,1134,merge_3,0.19,0.48,0.33,-0.13,-1.53,-1.44,-2.32
26,HON,1134,yesterday_strategy,0.24,0.67,0.1,0.06,-0.82,-0.76,-0.64
27,HON,1134,trend,0.38,0,0.62,0.08,-0.79,-0.72,-0.58
28,HON,1176,no_merge,0.29,0.38,0.33,0.01,0.39,0.52,0.78
29,HON,1176,merge_0,0.29,0.38,0.33,0.01,0.39,0.52,0.78
30,HON,1176,merge_1,0.38,0.43,0.19,0.09,0.36,0.48,0.72
31,HON,1176,merge_2,0.29,0.43,0.29,0.05,0.36,0.48,0.72
32,HON,1176,merge_3,0.33,0.38,0.29,0.04,0.39,0.52,0.78
33,HON,1176,yesterday_strategy,0.24,0.52,0.24,-0.06,0.3,0.4,0.6
34,HON,1176,trend,0.43,0,0.57,-0.04,0.27,0.36,0.54
35,HON,1218,no_merge,0.38,0.43,0.19,0.12,-0.26,-0.15,0.07
36,HON,1218,merge_0,0.38,0.43,0.19,0.12,-0.26,-0.15,0.07
37,HON,1218,merge_1,0.33,0.52,0.14,0.16,-0.32,-0.23,-0.05
38,HON,1218,merge_2,0.14,0.67,0.19,-0.05,-0.41,-0.35,-0.23
39,HON,1218,merge_3,0.14,0.67,0.19,-0.05,-0.41,-0.35,-0.23
40,HON,1218,yesterday_strategy,0.24,0.43,0.33,-0.02,0.36,0.48,0.72
41,HON,1218,trend,0.57,0,0.43,-0.02,0.36,0.48,0.72
42,HON,1260,no_merge,0.33,0.29,0.38,0.08,0.45,0.6,0.9
43,HON,1260,merge_0,0.33,0.29,0.38,0.08,0.45,0.6,0.9
44,HON,1260,merge_1,0.24,0.52,0.24,0.05,0.3,0.4,0.6
45,HON,1260,merge_2,0.38,0.24,0.38,0.13,0.48,0.64,0.96
46,HON,1260,merge_3,0.38,0.19,0.43,0.08,0.51,0.68,1.02
47,HON,1260,yesterday_strategy,0.1,0.52,0.38,-0.19,0.3,0.4,0.6
48,HON,1260,trend,0.52,0,0.48,-0.2,0.33,0.44,0.66
49,HON,1302,no_merge,0.29,0.43,0.29,0.24,-0.67,-0.56,-1.18
50,HON,1302,merge_0,0.29,0.43,0.29,0.24,-0.67,-0.56,-1.18
51,HON,1302,merge_1,0.29,0.57,0.14,0.29,-0.76,-0.68,-0.52
52,HON,1302,merge_2,0.33,0.33,0.33,0.14,-0.61,-0.48,-1.06
53,HON,1302,merge_3,0.33,0.38,0.29,0.23,-0.64,-0.52,-0.28
54,HON,1302,yesterday_strategy,0.29,0.43,0.29,0.01,-0.67,-0.56,-1.18
55,HON,1302,trend,0.52,0,0.48,0.03,-0.7,-0.6,-1.24
56,HON,1344,no_merge,0.33,0.48,0.19,0.02,0.33,0.44,0.66
57,HON,1344,merge_0,0.33,0.48,0.19,0.02,0.33,0.44,0.66
58,HON,1344,merge_1,0.43,0.38,0.19,0.15,0.39,0.52,0.78
59,HON,1344,merge_2,0.38,0.43,0.19,0.14,0.36,0.48,0.72
60,HON,1344,merge_3,0.24,0.52,0.24,-0.04,0.3,0.4,0.6
61,HON,1344,yesterday_strategy,0.29,0.43,0.29,0.03,0.36,0.48,0.72
62,HON,1344,trend,0.52,0,0.48,0.08,0.33,0.44,0.66
