,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,IBM,1008,no_merge,0.29,0.52,0.19,0.08,-0.68,-0.59,-0.41
1,IBM,1008,merge_0,0.29,0.52,0.19,0.08,-0.68,-0.59,-0.41
2,IBM,1008,merge_1,0.19,0.57,0.24,-0.06,-1.74,-1.67,-1.53
3,IBM,1008,merge_2,0.14,0.62,0.24,-0.04,-1.77,-1.71,-1.59
4,IBM,1008,merge_3,0.33,0.33,0.33,-0.02,-1.59,-1.47,-1.23
5,IBM,1008,yesterday_strategy,0.29,0.52,0.19,-0.01,0.3,0.4,0.6
6,IBM,1008,trend,0.52,0,0.48,-0.03,0.33,0.44,0.66
7,IBM,1050,no_merge,0.29,0.57,0.14,0.31,0.27,0.36,0.54
8,IBM,1050,merge_0,0.29,0.57,0.14,0.31,0.27,0.36,0.54
9,IBM,1050,merge_1,0.19,0.62,0.19,0.14,0.24,0.32,0.48
10,IBM,1050,merge_2,0.19,0.52,0.29,0.11,0.3,0.4,0.6
11,IBM,1050,merge_3,0.19,0.67,0.14,0.11,0.21,0.28,0.42
12,IBM,1050,yesterday_strategy,0.19,0.57,0.24,-0.04,0.27,0.36,0.54
13,IBM,1050,trend,0.48,0,0.52,-0.07,0.3,0.4,0.6
14,IBM,1092,no_merge,0.14,0.67,0.19,-0.0,0.21,0.28,0.42
15,IBM,1092,merge_0,0.14,0.67,0.19,-0.0,0.21,0.28,0.42
16,IBM,1092,merge_1,0.24,0.62,0.14,0.08,0.24,0.32,0.48
17,IBM,1092,merge_2,0.29,0.52,0.19,0.06,-0.73,-0.64,-0.46
18,IBM,1092,merge_3,0.19,0.52,0.29,-0.02,-0.73,-0.64,-0.46
19,IBM,1092,yesterday_strategy,0.19,0.52,0.29,-0.07,-1.17,-1.09,-0.93
20,IBM,1092,trend,0.48,0,0.52,-0.07,-1.17,-1.09,-0.93
21,IBM,1134,no_merge,0.33,0.43,0.24,0.01,0.36,0.48,0.72
22,IBM,1134,merge_0,0.33,0.43,0.24,0.01,0.36,0.48,0.72
23,IBM,1134,merge_1,0.24,0.57,0.19,-0.04,0.27,0.36,0.54
24,IBM,1134,merge_2,0.33,0.52,0.14,0.06,0.3,0.4,0.6
25,IBM,1134,merge_3,0.29,0.57,0.14,0.07,0.27,0.36,0.54
26,IBM,1134,yesterday_strategy,0.24,0.48,0.29,-0.05,0.33,0.44,0.66
27,IBM,1134,trend,0.57,0,0.43,-0.09,0.36,0.48,0.72
28,IBM,1176,no_merge,0.33,0.33,0.33,0.05,0.42,0.56,0.84
29,IBM,1176,merge_0,0.33,0.33,0.33,0.05,0.42,0.56,0.84
30,IBM,1176,merge_1,0.19,0.67,0.14,0.07,0.21,0.28,0.42
31,IBM,1176,merge_2,0.33,0.38,0.29,0.08,0.39,0.52,0.78
32,IBM,1176,merge_3,0.33,0.29,0.38,0.05,0.45,0.6,0.9
33,IBM,1176,yesterday_strategy,0.19,0.48,0.33,-0.04,0.33,0.44,0.66
34,IBM,1176,trend,0.48,0,0.52,-0.02,0.3,0.4,0.6
35,IBM,1218,no_merge,0.19,0.43,0.38,-0.05,0.36,0.06,0.28
36,IBM,1218,merge_0,0.19,0.43,0.38,-0.05,0.36,0.06,0.28
37,IBM,1218,merge_1,0.29,0.38,0.33,0.01,0.39,0.1,0.34
38,IBM,1218,merge_2,0.29,0.38,0.33,-0.03,0.39,0.1,0.34
39,IBM,1218,merge_3,0.29,0.33,0.38,-0.05,0.42,0.14,0.4
40,IBM,1218,yesterday_strategy,0.24,0.57,0.19,-0.05,0.27,0.36,0.54
41,IBM,1218,trend,0.48,0,0.52,0.01,0.3,0.4,0.6
42,IBM,1260,no_merge,0.19,0.67,0.14,0.12,0.21,0.28,0.42
43,IBM,1260,merge_0,0.19,0.67,0.14,0.12,0.21,0.28,0.42
44,IBM,1260,merge_1,0.29,0.57,0.14,0.16,0.27,0.36,0.54
45,IBM,1260,merge_2,0.24,0.57,0.19,0.11,0.27,0.36,0.54
46,IBM,1260,merge_3,0.14,0.71,0.14,0.1,0.18,0.24,0.36
47,IBM,1260,yesterday_strategy,0.19,0.52,0.29,0.09,-0.73,-0.64,-0.46
48,IBM,1260,trend,0.52,0,0.48,0.09,-0.7,-0.6,-0.4
49,IBM,1302,no_merge,0.33,0.48,0.19,0.12,-0.7,-0.6,-0.4
50,IBM,1302,merge_0,0.33,0.48,0.19,0.12,-0.7,-0.6,-0.4
51,IBM,1302,merge_1,0.33,0.52,0.14,0.18,0.3,0.4,0.6
52,IBM,1302,merge_2,0.24,0.52,0.24,-0.01,-0.73,-0.64,-0.46
53,IBM,1302,merge_3,0.24,0.57,0.19,0.05,-0.76,-0.68,-0.52
54,IBM,1302,yesterday_strategy,0.38,0.38,0.24,0.1,-0.64,-1.56,-1.34
55,IBM,1302,trend,0.62,0,0.38,0.16,-0.64,-1.56,-1.34
56,IBM,1344,no_merge,0.24,0.48,0.29,-0.08,0.33,0.44,0.66
57,IBM,1344,merge_0,0.24,0.48,0.29,-0.08,0.33,0.44,0.66
58,IBM,1344,merge_1,0.1,0.71,0.19,-0.06,0.18,0.24,0.36
59,IBM,1344,merge_2,0.19,0.52,0.29,-0.1,0.3,0.4,0.6
60,IBM,1344,merge_3,0.1,0.48,0.43,-0.23,-0.7,-0.6,-0.4
61,IBM,1344,yesterday_strategy,0.19,0.62,0.19,-0.03,-1.04,-0.98,-0.86
62,IBM,1344,trend,0.33,0,0.67,0.02,-1.07,-1.02,-0.92
63,IBM,1386,no_merge,0.29,0.48,0.24,-0.08,0.33,0.44,0.66
64,IBM,1386,merge_0,0.29,0.48,0.24,-0.08,0.33,0.44,0.66
65,IBM,1386,merge_1,0.33,0.43,0.24,-0.02,0.36,0.48,0.72
66,IBM,1386,merge_2,0.38,0.43,0.19,0.06,0.36,0.48,0.72
67,IBM,1386,merge_3,0.33,0.43,0.24,-0.06,0.36,0.48,0.72
68,IBM,1386,yesterday_strategy,0.38,0.43,0.19,0.04,0.36,0.48,0.72
69,IBM,1386,trend,0.57,0,0.43,0.04,0.36,0.48,0.72
70,IBM,1428,no_merge,0.24,0.57,0.19,0.03,-0.76,-0.68,-0.52
71,IBM,1428,merge_0,0.24,0.57,0.19,0.03,-0.76,-0.68,-0.52
72,IBM,1428,merge_1,0.33,0.43,0.24,0.1,-0.67,-0.56,-0.34
73,IBM,1428,merge_2,0.19,0.62,0.19,0.0,-0.79,-0.72,-0.58
74,IBM,1428,merge_3,0.29,0.52,0.19,0.08,-0.73,-0.64,-0.46
75,IBM,1428,yesterday_strategy,0.24,0.43,0.33,-0.09,-0.67,-0.56,-0.34
76,IBM,1428,trend,0.57,0,0.43,-0.09,-0.67,-0.56,-0.34
77,IBM,1470,no_merge,0.33,0.38,0.29,0.07,-0.64,-1.46,-1.24
78,IBM,1470,merge_0,0.33,0.38,0.29,0.07,-0.64,-1.46,-1.24
79,IBM,1470,merge_1,0.38,0.14,0.48,0.05,-0.49,-1.26,-1.27
80,IBM,1470,merge_2,0.29,0.52,0.19,0.04,-0.73,-0.64,-0.46
81,IBM,1470,merge_3,0.29,0.57,0.14,0.1,0.27,0.36,0.54
82,IBM,1470,yesterday_strategy,0.19,0.57,0.24,-0.02,0.27,-0.58,-0.75
83,IBM,1470,trend,0.48,0,0.52,-0.06,0.3,-0.54,-0.69
