,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,KO,1008,no_merge,0.05,0.95,0.0,0.03,0.03,0.04,0.06
1,KO,1008,merge_1,0.05,0.95,0.0,0.03,0.03,0.04,0.06
2,KO,1008,merge_2,0.05,0.95,0.0,0.03,0.03,0.04,0.06
3,KO,1008,merge_3,0.05,0.95,0.0,0.03,0.03,0.04,0.06
4,KO,1008,yesterday_strategy,0.05,0.67,0.29,-0.19,-1.85,-1.8,-1.7
5,KO,1008,trend,0.33,0,0.67,-0.19,-1.85,-1.8,-1.7
6,KO,1050,no_merge,0.19,0.81,0.0,0.06,-0.01,0.02,0.08
7,KO,1050,merge_1,0.19,0.81,0.0,0.06,-0.01,0.02,0.08
8,KO,1050,merge_2,0.19,0.81,0.0,0.06,-0.01,0.02,0.08
9,KO,1050,merge_3,0.19,0.81,0.0,0.06,-0.01,0.02,0.08
10,KO,1050,yesterday_strategy,0.33,0.43,0.24,-0.04,0.23,0.34,0.56
11,KO,1050,trend,0.52,0,0.48,-0.05,0.2,0.3,0.5
12,KO,1092,no_merge,0.33,0.24,0.43,0.13,0.16,0.31,0.61
13,KO,1092,merge_1,0.24,0.62,0.14,0.11,0.24,0.32,0.48
14,KO,1092,merge_2,0.19,0.71,0.1,0.1,0.18,0.24,0.36
15,KO,1092,merge_3,0.19,0.71,0.1,0.1,0.18,0.24,0.36
16,KO,1092,yesterday_strategy,0.05,0.57,0.38,-0.02,-0.05,0.03,0.19
17,KO,1092,trend,0.43,0,0.57,-0.02,-0.05,0.03,0.19
18,KO,1134,no_merge,0.29,0.43,0.29,0.12,0.36,0.48,-0.07
19,KO,1134,merge_1,0.29,0.48,0.24,0.16,0.33,0.44,0.66
20,KO,1134,merge_2,0.29,0.48,0.24,0.16,0.33,0.44,0.66
21,KO,1134,merge_3,0.29,0.48,0.24,0.16,0.33,0.44,0.66
22,KO,1134,yesterday_strategy,0.1,0.67,0.24,0.04,-0.58,-0.52,-1.19
23,KO,1134,trend,0.38,0,0.62,0.02,-0.55,-0.48,-1.13
24,KO,1176,no_merge,0.52,0.48,0.0,0.31,0.33,0.44,0.66
25,KO,1176,merge_1,0.48,0.52,0.0,0.3,0.3,0.4,0.6
26,KO,1176,merge_2,0.48,0.52,0.0,0.3,0.3,0.4,0.6
27,KO,1176,merge_3,0.48,0.52,0.0,0.3,0.3,0.4,0.6
28,KO,1176,yesterday_strategy,0.38,0.33,0.29,0.23,-0.07,0.05,0.29
29,KO,1176,trend,0.62,0,0.38,0.22,-0.1,0.01,0.23
30,KO,1218,no_merge,0.43,0.43,0.14,0.15,0.02,0.13,0.35
31,KO,1218,merge_1,0.38,0.48,0.14,0.15,-0.01,0.09,0.29
32,KO,1218,merge_2,0.38,0.48,0.14,0.15,-0.01,0.09,0.29
33,KO,1218,merge_3,0.38,0.52,0.1,0.14,-0.04,0.05,0.23
34,KO,1218,yesterday_strategy,0.43,0.29,0.29,0.25,0.45,0.6,0.9
35,KO,1218,trend,0.67,0,0.33,0.25,0.42,0.56,0.84
36,KO,1260,no_merge,0.29,0.67,0.05,0.16,0.21,0.28,0.42
37,KO,1260,merge_1,0.29,0.67,0.05,0.16,0.21,0.28,0.42
38,KO,1260,merge_2,0.24,0.71,0.05,0.12,0.18,0.24,0.36
39,KO,1260,merge_3,0.24,0.71,0.05,0.12,0.18,0.24,0.36
40,KO,1260,yesterday_strategy,0.29,0.57,0.14,0.07,0.27,0.36,0.54
41,KO,1260,trend,0.48,0,0.52,0.06,0.3,0.4,0.6
42,KO,1302,no_merge,0.19,0.57,0.24,0.05,-0.75,-0.67,-0.84
43,KO,1302,merge_1,0.19,0.67,0.14,0.1,0.21,0.28,0.09
44,KO,1302,merge_2,0.19,0.67,0.14,0.1,0.21,0.28,0.09
45,KO,1302,merge_3,0.19,0.67,0.14,0.1,0.21,0.28,0.09
46,KO,1302,yesterday_strategy,0.19,0.62,0.19,-0.12,0.24,0.32,0.15
47,KO,1302,trend,0.43,0,0.57,-0.12,0.27,0.36,0.21
48,KO,1344,no_merge,0.14,0.86,0.0,0.04,0.09,0.12,0.18
49,KO,1344,merge_1,0.14,0.86,0.0,0.04,0.09,0.12,0.18
50,KO,1344,merge_2,0.14,0.86,0.0,0.04,0.09,0.12,0.18
51,KO,1344,merge_3,0.14,0.86,0.0,0.04,0.09,0.12,0.18
52,KO,1344,yesterday_strategy,0.19,0.57,0.24,-0.06,-0.73,-0.66,-0.52
53,KO,1344,trend,0.43,0,0.57,-0.06,-0.73,-0.66,-0.52
54,KO,1386,no_merge,0.48,0.43,0.1,0.24,0.36,0.48,0.72
55,KO,1386,merge_1,0.48,0.43,0.1,0.24,0.36,0.48,0.72
56,KO,1386,merge_2,0.38,0.52,0.1,0.19,0.3,0.4,0.6
57,KO,1386,merge_3,0.38,0.52,0.1,0.19,0.3,0.4,0.6
58,KO,1386,yesterday_strategy,0.33,0.43,0.24,0.13,0.18,0.29,0.51
59,KO,1386,trend,0.62,0,0.38,0.15,0.21,0.33,0.57
60,KO,1428,no_merge,0.52,0.43,0.05,0.42,0.02,0.13,0.35
61,KO,1428,merge_1,0.52,0.43,0.05,0.42,0.02,0.13,0.35
62,KO,1428,merge_2,0.52,0.43,0.05,0.42,0.02,0.13,0.35
63,KO,1428,merge_3,0.52,0.43,0.05,0.42,0.02,0.13,0.35
64,KO,1428,yesterday_strategy,0.24,0.43,0.33,0.1,0.36,0.48,0.72
65,KO,1428,trend,0.57,0,0.43,0.13,0.36,0.48,0.72
66,KO,1470,no_merge,0.33,0.52,0.14,0.31,0.3,0.4,0.6
67,KO,1470,merge_1,0.14,0.76,0.1,0.16,0.15,0.2,0.3
68,KO,1470,merge_2,0.1,0.81,0.1,0.12,0.12,0.16,0.24
69,KO,1470,merge_3,0.1,0.81,0.1,0.12,0.12,0.16,0.24
70,KO,1470,yesterday_strategy,0.14,0.57,0.29,0.05,0.27,0.36,0.54
71,KO,1470,trend,0.43,0,0.57,0.05,0.27,0.36,0.54
