,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,MCD,1008,no_merge,0.14,0.48,0.38,-0.09,0.33,0.44,0.66
1,MCD,1008,merge_0,0.14,0.48,0.38,-0.09,0.33,0.44,0.66
2,MCD,1008,merge_1,0.14,0.33,0.52,-0.07,0.42,0.56,0.84
3,MCD,1008,merge_2,0.19,0.67,0.14,0.05,0.21,0.28,0.42
4,MCD,1008,merge_3,0.14,0.52,0.33,-0.08,0.3,0.4,0.6
5,MCD,1008,yesterday_strategy,0.1,0.71,0.19,-0.13,-0.85,-0.8,-0.7
6,MCD,1008,trend,0.33,0,0.67,-0.11,-0.82,-0.76,-0.64
7,MCD,1050,no_merge,0.24,0.43,0.33,0.04,-0.67,-0.56,-0.34
8,MCD,1050,merge_0,0.24,0.43,0.33,0.04,-0.67,-0.56,-0.34
9,MCD,1050,merge_1,0.24,0.48,0.29,0.09,-0.7,-0.6,-0.4
10,MCD,1050,merge_2,0.24,0.38,0.38,0.03,-0.64,-0.52,-0.89
11,MCD,1050,merge_3,0.24,0.33,0.43,-0.01,-1.64,-1.52,-1.89
12,MCD,1050,yesterday_strategy,0.14,0.57,0.29,0.03,-1.79,-1.72,-1.58
13,MCD,1050,trend,0.43,0,0.57,0.03,-1.79,-1.72,-1.58
14,MCD,1092,no_merge,0.29,0.38,0.33,0.02,-0.34,-0.22,0.02
15,MCD,1092,merge_0,0.29,0.38,0.33,0.02,-0.34,-0.22,0.02
16,MCD,1092,merge_1,0.29,0.43,0.29,0.04,-0.37,-0.26,-0.04
17,MCD,1092,merge_2,0.33,0.29,0.38,0.03,-0.28,-0.14,0.14
18,MCD,1092,merge_3,0.29,0.38,0.33,0.05,-0.34,-0.22,0.02
19,MCD,1092,yesterday_strategy,0.14,0.48,0.38,-0.04,0.33,0.44,0.66
20,MCD,1092,trend,0.48,0,0.52,-0.04,0.3,0.4,0.6
21,MCD,1134,no_merge,0.24,0.48,0.29,-0.08,0.33,0.44,0.61
22,MCD,1134,merge_0,0.24,0.48,0.29,-0.08,0.33,0.44,0.61
23,MCD,1134,merge_1,0.1,0.71,0.19,-0.07,0.18,0.24,0.31
24,MCD,1134,merge_2,0.29,0.43,0.29,-0.05,0.36,0.48,0.67
25,MCD,1134,merge_3,0.19,0.57,0.24,-0.09,0.27,0.36,0.49
26,MCD,1134,yesterday_strategy,0.14,0.62,0.24,-0.04,-0.37,-0.3,-0.16
27,MCD,1134,trend,0.38,0,0.62,-0.04,0.24,0.32,0.48
28,MCD,1176,no_merge,0.19,0.57,0.24,0.01,0.27,0.36,0.54
29,MCD,1176,merge_0,0.19,0.57,0.24,0.01,0.27,0.36,0.54
30,MCD,1176,merge_1,0.24,0.57,0.19,0.21,-0.21,-0.13,0.03
31,MCD,1176,merge_2,0.14,0.62,0.24,-0.02,0.24,0.32,0.48
32,MCD,1176,merge_3,0.29,0.57,0.14,0.13,0.27,0.36,0.54
33,MCD,1176,yesterday_strategy,0.29,0.48,0.24,0.07,0.33,0.44,0.66
34,MCD,1176,trend,0.52,0,0.48,0.07,0.33,0.44,0.66
35,MCD,1218,no_merge,0.19,0.52,0.29,0.02,0.3,-0.64,-0.48
36,MCD,1218,merge_0,0.19,0.52,0.29,0.02,0.3,-0.64,-0.48
37,MCD,1218,merge_1,0.43,0.14,0.43,0.1,0.54,-0.32,0.0
38,MCD,1218,merge_2,0.14,0.48,0.38,-0.01,0.33,-0.6,-0.42
39,MCD,1218,merge_3,0.14,0.57,0.29,-0.02,0.27,-0.68,-0.54
40,MCD,1218,yesterday_strategy,0.05,0.57,0.38,-0.08,-0.06,-1.03,-0.93
41,MCD,1218,trend,0.43,0,0.57,-0.04,0.15,-0.81,-0.69
42,MCD,1260,no_merge,0.14,0.62,0.24,-0.15,-0.6,-0.53,-0.39
43,MCD,1260,merge_0,0.14,0.62,0.24,-0.15,-0.6,-0.53,-0.39
44,MCD,1260,merge_1,0.1,0.86,0.05,-0.01,0.09,0.12,0.18
45,MCD,1260,merge_2,0.19,0.62,0.19,-0.05,0.24,0.32,0.48
46,MCD,1260,merge_3,0.29,0.52,0.19,-0.01,0.3,0.4,0.6
47,MCD,1260,yesterday_strategy,0.24,0.48,0.29,-0.1,0.33,0.44,0.66
48,MCD,1260,trend,0.57,0,0.43,-0.08,0.36,0.48,0.72
49,MCD,1302,no_merge,0.29,0.48,0.24,-0.0,0.33,0.44,0.66
50,MCD,1302,merge_0,0.29,0.48,0.24,-0.0,0.33,0.44,0.66
51,MCD,1302,merge_1,0.24,0.57,0.19,-0.01,0.27,0.36,0.54
52,MCD,1302,merge_2,0.24,0.52,0.24,-0.05,0.3,0.4,0.6
53,MCD,1302,merge_3,0.33,0.57,0.1,0.14,0.27,0.36,0.54
54,MCD,1302,yesterday_strategy,0.29,0.43,0.29,-0.04,0.36,0.48,0.72
55,MCD,1302,trend,0.57,0,0.43,0.01,0.36,0.48,0.72
56,MCD,1344,no_merge,0.19,0.48,0.33,-0.15,0.33,0.44,0.66
57,MCD,1344,merge_0,0.19,0.48,0.33,-0.15,0.33,0.44,0.66
58,MCD,1344,merge_1,0.24,0.57,0.19,-0.06,0.27,0.36,0.54
59,MCD,1344,merge_2,0.24,0.29,0.48,-0.23,0.45,0.6,0.13
60,MCD,1344,merge_3,0.24,0.38,0.38,-0.12,0.39,0.52,0.01
61,MCD,1344,yesterday_strategy,0.24,0.52,0.24,-0.04,0.3,0.4,0.6
62,MCD,1344,trend,0.43,0,0.57,-0.06,0.27,0.36,0.54
63,MCD,1386,no_merge,0.19,0.57,0.24,0.04,-0.76,-0.68,-0.52
64,MCD,1386,merge_0,0.19,0.57,0.24,0.04,-0.76,-0.68,-0.52
65,MCD,1386,merge_1,0.29,0.52,0.19,0.13,0.3,0.4,0.6
66,MCD,1386,merge_2,0.24,0.57,0.19,0.12,0.27,0.36,0.54
67,MCD,1386,merge_3,0.14,0.57,0.29,0.02,0.27,0.36,0.15
68,MCD,1386,yesterday_strategy,0.33,0.52,0.14,0.21,-0.73,-0.64,-0.46
69,MCD,1386,trend,0.43,0,0.57,0.17,-0.76,-0.68,-0.52
70,MCD,1428,no_merge,0.33,0.57,0.1,0.13,0.27,0.36,0.54
71,MCD,1428,merge_0,0.33,0.57,0.1,0.13,0.27,0.36,0.54
72,MCD,1428,merge_1,0.24,0.67,0.1,-0.02,0.21,0.28,0.42
73,MCD,1428,merge_2,0.29,0.62,0.1,0.01,0.24,0.32,0.48
74,MCD,1428,merge_3,0.33,0.57,0.1,0.06,0.27,0.36,0.54
75,MCD,1428,yesterday_strategy,0.52,0.29,0.19,0.09,0.45,0.6,0.9
76,MCD,1428,trend,0.76,0,0.24,0.13,0.48,0.64,0.96
