,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,MRK,1008,no_merge,0.19,0.57,0.24,0.31,0.27,0.36,-0.79
1,MRK,1008,merge_1,0.19,0.57,0.24,0.31,0.27,0.36,-0.79
2,MRK,1008,merge_2,0.14,0.71,0.14,0.38,0.18,0.24,0.36
3,MRK,1008,merge_3,0.14,0.71,0.14,0.38,0.18,0.24,0.36
4,MRK,1008,yesterday_strategy,0.29,0.52,0.19,0.24,0.3,0.4,0.6
5,MRK,1008,trend,0.48,0,0.52,0.46,0.3,0.4,0.6
6,MRK,1050,no_merge,0.33,0.52,0.14,0.17,0.3,0.4,0.6
7,MRK,1050,merge_1,0.33,0.57,0.1,0.18,0.27,0.36,0.54
8,MRK,1050,merge_2,0.19,0.76,0.05,0.17,0.15,0.2,0.3
9,MRK,1050,merge_3,0.19,0.76,0.05,0.17,0.15,0.2,0.3
10,MRK,1050,yesterday_strategy,0.19,0.52,0.29,-0.08,0.3,0.4,0.6
11,MRK,1050,trend,0.48,0,0.52,0.3,0.3,0.4,0.6
12,MRK,1092,no_merge,0.38,0.48,0.14,0.23,0.33,-0.15,0.05
13,MRK,1092,merge_1,0.33,0.57,0.1,0.16,0.27,-0.23,-0.07
14,MRK,1092,merge_2,0.24,0.71,0.05,0.12,0.18,-0.35,-0.25
15,MRK,1092,merge_3,0.24,0.71,0.05,0.12,0.18,-0.35,-0.25
16,MRK,1092,yesterday_strategy,0.24,0.48,0.29,-0.02,-0.29,-3.02,-2.84
17,MRK,1092,trend,0.52,0,0.48,0.29,-0.29,-0.19,0.01
18,MRK,1134,no_merge,0.24,0.67,0.1,0.07,0.21,0.28,0.42
19,MRK,1134,merge_1,0.14,0.81,0.05,0.03,0.12,0.16,0.24
20,MRK,1134,merge_2,0.14,0.81,0.05,0.03,0.12,0.16,0.24
21,MRK,1134,merge_3,0.14,0.81,0.05,0.03,0.12,0.16,0.24
22,MRK,1134,yesterday_strategy,0.1,0.57,0.33,-0.08,0.27,0.36,0.54
23,MRK,1134,trend,0.43,0,0.57,0.11,0.27,0.36,0.54
24,MRK,1176,no_merge,0.33,0.29,0.38,0.0,0.45,0.6,0.9
25,MRK,1176,merge_1,0.24,0.62,0.14,0.08,0.24,0.32,0.48
26,MRK,1176,merge_2,0.19,0.71,0.1,0.06,0.18,0.24,0.36
27,MRK,1176,merge_3,0.19,0.71,0.1,0.06,0.18,0.24,0.36
28,MRK,1176,yesterday_strategy,0.1,0.57,0.33,-0.09,0.27,0.36,0.54
29,MRK,1176,trend,0.43,0,0.57,0.16,0.27,0.36,0.54
30,MRK,1218,no_merge,0.48,0.52,0.0,0.05,0.3,0.4,0.6
