,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,MSFT,1008,no_merge,0.14,0.57,0.29,-0.13,-1.79,-1.72,-1.58
1,MSFT,1008,merge_0,0.14,0.57,0.29,-0.13,-1.79,-1.72,-1.58
2,MSFT,1008,merge_1,0.14,0.62,0.24,-0.01,-1.82,-1.76,-1.64
3,MSFT,1008,merge_2,0.24,0.48,0.29,0.09,-0.7,-0.6,-0.4
4,MSFT,1008,merge_3,0.19,0.52,0.29,-0.0,-0.73,-0.64,-0.46
5,MSFT,1008,yesterday_strategy,0.24,0.57,0.19,0.19,0.27,0.36,-0.52
6,MSFT,1008,trend,0.43,0,0.57,0.19,0.27,0.36,-0.52
7,MSFT,1050,no_merge,0.05,0.9,0.05,-0.03,0.06,0.08,0.12
8,MSFT,1050,merge_0,0.05,0.9,0.05,-0.03,0.06,0.08,0.12
9,MSFT,1050,merge_1,0.24,0.57,0.19,0.0,0.27,0.36,0.54
10,MSFT,1050,merge_2,0.19,0.62,0.19,0.07,0.24,0.32,-0.03
11,MSFT,1050,merge_3,0.19,0.67,0.14,0.11,0.21,0.28,0.42
12,MSFT,1050,yesterday_strategy,0.24,0.52,0.24,-0.02,0.3,0.4,0.09
13,MSFT,1050,trend,0.48,0,0.52,-0.02,0.3,0.4,0.09
14,MSFT,1092,no_merge,0.14,0.76,0.1,0.12,0.15,0.2,0.3
15,MSFT,1092,merge_0,0.14,0.76,0.1,0.12,0.15,0.2,0.3
16,MSFT,1092,merge_1,0.24,0.52,0.24,0.15,-0.55,-0.47,-0.31
17,MSFT,1092,merge_2,0.05,0.86,0.1,0.0,0.09,0.12,0.18
18,MSFT,1092,merge_3,0.1,0.81,0.1,0.08,0.12,0.16,0.24
19,MSFT,1092,yesterday_strategy,0.24,0.48,0.29,-0.02,0.33,0.44,0.66
20,MSFT,1092,trend,0.48,0,0.52,0.01,0.3,0.4,0.6
21,MSFT,1134,no_merge,0.29,0.48,0.24,0.17,-0.7,-0.6,-0.4
22,MSFT,1134,merge_0,0.29,0.48,0.24,0.17,-0.7,-0.6,-0.4
23,MSFT,1134,merge_1,0.05,0.71,0.24,-0.08,-0.85,-0.8,-0.7
24,MSFT,1134,merge_2,0.24,0.38,0.38,-0.07,-0.64,-0.52,-0.28
25,MSFT,1134,merge_3,0.14,0.67,0.19,-0.0,-0.82,-0.76,-0.64
26,MSFT,1134,yesterday_strategy,0.14,0.62,0.24,-0.12,-0.53,-0.46,-0.32
27,MSFT,1134,trend,0.38,0,0.62,-0.12,-0.53,-0.46,-0.32
28,MSFT,1176,no_merge,0.24,0.52,0.24,0.01,0.3,0.4,0.6
29,MSFT,1176,merge_0,0.24,0.52,0.24,0.01,0.3,0.4,0.6
30,MSFT,1176,merge_1,0.29,0.38,0.33,0.0,0.39,0.52,0.78
31,MSFT,1176,merge_2,0.24,0.57,0.19,-0.03,0.27,0.36,0.54
32,MSFT,1176,merge_3,0.24,0.57,0.19,-0.01,0.27,0.36,0.54
33,MSFT,1176,yesterday_strategy,0.38,0.38,0.24,0.23,0.39,0.52,0.78
34,MSFT,1176,trend,0.57,0,0.43,0.17,0.36,0.48,0.72
35,MSFT,1218,no_merge,0.19,0.48,0.33,-0.06,-0.53,-0.43,-0.23
36,MSFT,1218,merge_0,0.19,0.48,0.33,-0.06,-0.53,-0.43,-0.23
37,MSFT,1218,merge_1,0.19,0.52,0.29,-0.05,-0.56,-0.47,-0.29
38,MSFT,1218,merge_2,0.14,0.57,0.29,-0.05,-0.59,-0.51,-0.35
39,MSFT,1218,merge_3,0.14,0.52,0.33,-0.09,-0.56,-0.47,-0.29
40,MSFT,1218,yesterday_strategy,0.24,0.48,0.29,0.02,-0.19,-0.09,0.11
41,MSFT,1218,trend,0.52,0,0.48,-0.07,-0.19,-0.09,0.11
42,MSFT,1260,no_merge,0.29,0.38,0.33,-0.01,0.39,0.52,0.78
43,MSFT,1260,merge_0,0.29,0.38,0.33,-0.01,0.39,0.52,0.78
44,MSFT,1260,merge_1,0.1,0.67,0.24,-0.02,0.21,0.28,0.42
45,MSFT,1260,merge_2,0.29,0.29,0.43,0.0,0.45,0.6,0.9
46,MSFT,1260,merge_3,0.24,0.33,0.43,-0.09,0.42,0.56,0.84
47,MSFT,1260,yesterday_strategy,0.1,0.62,0.29,-0.09,0.24,0.32,0.48
48,MSFT,1260,trend,0.43,0,0.57,-0.1,0.27,0.36,0.54
49,MSFT,1302,no_merge,0.33,0.29,0.38,0.23,-0.58,-0.44,-0.16
50,MSFT,1302,merge_0,0.33,0.29,0.38,0.23,-0.58,-0.44,-0.16
51,MSFT,1302,merge_1,0.14,0.62,0.24,0.17,-0.79,-0.72,-0.58
52,MSFT,1302,merge_2,0.33,0.29,0.38,0.15,-0.58,-0.44,-0.16
53,MSFT,1302,merge_3,0.24,0.43,0.33,0.06,-0.67,-0.56,-0.34
54,MSFT,1302,yesterday_strategy,0.24,0.52,0.24,0.11,0.3,0.4,0.6
55,MSFT,1302,trend,0.43,0,0.57,0.16,0.27,0.36,0.54
56,MSFT,1344,no_merge,0.19,0.48,0.33,-0.18,0.33,0.44,0.66
57,MSFT,1344,merge_0,0.19,0.48,0.33,-0.18,0.33,0.44,0.66
58,MSFT,1344,merge_1,0.19,0.67,0.14,0.1,0.21,0.28,0.42
59,MSFT,1344,merge_2,0.24,0.57,0.19,0.0,0.27,0.36,0.54
60,MSFT,1344,merge_3,0.29,0.43,0.29,-0.08,0.36,0.48,0.72
61,MSFT,1344,yesterday_strategy,0.19,0.52,0.29,-0.16,0.3,0.4,0.6
62,MSFT,1344,trend,0.43,0,0.57,-0.12,0.27,0.36,0.54
63,MSFT,1386,no_merge,0.29,0.43,0.29,0.04,0.36,0.48,0.3
64,MSFT,1386,merge_0,0.29,0.43,0.29,0.04,0.36,0.48,0.3
65,MSFT,1386,merge_1,0.19,0.62,0.19,0.1,0.24,0.32,0.06
66,MSFT,1386,merge_2,0.29,0.48,0.24,0.08,0.33,0.44,0.24
67,MSFT,1386,merge_3,0.38,0.33,0.29,0.18,0.42,0.56,0.42
68,MSFT,1386,yesterday_strategy,0.48,0.38,0.14,0.35,0.39,0.52,0.36
69,MSFT,1386,trend,0.62,0,0.38,0.35,0.39,0.52,0.36
70,MSFT,1428,no_merge,0.29,0.48,0.24,0.33,-0.6,-0.5,-0.3
71,MSFT,1428,merge_0,0.29,0.48,0.24,0.33,-0.6,-0.5,-0.3
72,MSFT,1428,merge_1,0.24,0.48,0.29,0.19,-0.94,-0.85,-0.67
73,MSFT,1428,merge_2,0.29,0.43,0.29,0.24,-0.57,-0.46,-0.24
74,MSFT,1428,merge_3,0.33,0.33,0.33,0.14,-0.85,-0.73,-0.49
75,MSFT,1428,yesterday_strategy,0.29,0.43,0.29,0.12,-0.91,-0.81,-0.61
76,MSFT,1428,trend,0.62,0,0.38,0.21,-0.88,-0.77,-0.55
77,MSFT,1470,no_merge,0.14,0.71,0.14,0.27,0.18,0.24,0.36
78,MSFT,1470,merge_0,0.14,0.71,0.14,0.27,0.18,0.24,0.36
