,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,NKE,1008,no_merge,0.1,0.62,0.29,-0.23,0.24,0.32,-0.01
1,NKE,1008,merge_1,0.1,0.67,0.24,-0.2,0.21,0.28,-0.07
2,NKE,1008,merge_2,0.05,0.81,0.14,-0.16,0.12,0.16,0.24
3,NKE,1008,merge_3,0.05,0.81,0.14,-0.16,0.12,0.16,0.24
4,NKE,1008,yesterday_strategy,0.05,0.71,0.24,-0.1,0.18,0.24,0.36
5,NKE,1008,trend,0.29,0,0.71,0.1,0.18,0.24,0.36
6,NKE,1050,no_merge,0.19,0.76,0.05,0.07,0.15,0.2,0.3
7,NKE,1050,merge_1,0.19,0.76,0.05,0.07,0.15,0.2,0.3
8,NKE,1050,merge_2,0.19,0.76,0.05,0.07,0.15,0.2,0.3
9,NKE,1050,merge_3,0.19,0.76,0.05,0.07,0.15,0.2,0.3
10,NKE,1050,yesterday_strategy,0.29,0.48,0.24,-0.17,0.33,0.44,0.66
11,NKE,1050,trend,0.52,0,0.48,0.16,0.33,0.44,0.66
12,NKE,1092,no_merge,0.52,0.24,0.24,0.29,0.1,0.25,0.55
13,NKE,1092,merge_1,0.52,0.33,0.14,0.37,0.04,0.17,0.43
14,NKE,1092,merge_2,0.52,0.43,0.05,0.43,-0.02,0.09,0.31
15,NKE,1092,merge_3,0.52,0.43,0.05,0.43,-0.02,0.09,0.31
16,NKE,1092,yesterday_strategy,0.33,0.43,0.24,0.11,-0.02,0.09,0.31
17,NKE,1092,trend,0.57,0,0.43,0.47,0.36,0.48,0.72
18,NKE,1134,no_merge,0.29,0.67,0.05,0.13,0.21,0.28,0.42
19,NKE,1134,merge_1,0.24,0.71,0.05,0.09,0.18,0.24,0.36
20,NKE,1134,merge_2,0.19,0.76,0.05,0.09,0.15,0.2,0.3
21,NKE,1134,merge_3,0.19,0.76,0.05,0.09,0.15,0.2,0.3
22,NKE,1134,yesterday_strategy,0.19,0.48,0.33,-0.11,0.33,0.44,0.66
23,NKE,1134,trend,0.52,0,0.48,0.33,0.33,0.44,0.66
24,NKE,1176,no_merge,0.48,0.48,0.05,0.43,0.33,0.24,0.44
25,NKE,1176,merge_1,0.43,0.57,0.0,0.37,0.27,0.16,0.32
26,NKE,1176,merge_2,0.43,0.57,0.0,0.37,0.27,0.16,0.32
27,NKE,1176,merge_3,0.43,0.57,0.0,0.37,0.27,0.16,0.32
28,NKE,1176,yesterday_strategy,0.14,0.52,0.33,-0.01,-0.88,-0.79,-0.61
29,NKE,1176,trend,0.52,0,0.48,0.5,0.33,0.24,0.44
30,NKE,1218,no_merge,0.38,0.52,0.1,0.17,-0.95,-0.87,-0.71
31,NKE,1218,merge_1,0.29,0.62,0.1,0.13,-1.01,-0.95,-0.83
32,NKE,1218,merge_2,0.14,0.81,0.05,-0.01,-1.13,-1.11,-1.07
33,NKE,1218,merge_3,0.14,0.81,0.05,-0.01,-1.13,-1.11,-1.07
34,NKE,1218,yesterday_strategy,0.43,0.33,0.24,-0.03,0.22,0.35,0.61
35,NKE,1218,trend,0.71,0,0.29,0.28,0.25,0.39,0.67
36,NKE,1260,no_merge,0.29,0.38,0.33,0.1,0.39,0.52,-0.35
37,NKE,1260,merge_1,0.24,0.43,0.33,0.03,0.36,0.48,-0.41
38,NKE,1260,merge_2,0.19,0.52,0.29,0.0,0.3,0.4,-0.53
39,NKE,1260,merge_3,0.19,0.52,0.29,0.0,0.3,0.4,-0.53
40,NKE,1260,yesterday_strategy,0.19,0.62,0.19,-0.05,0.24,0.32,0.48
41,NKE,1260,trend,0.43,0,0.57,0.37,0.27,0.36,0.54
42,NKE,1302,no_merge,0.14,0.86,0.0,0.08,0.09,0.12,0.18
43,NKE,1302,merge_1,0.14,0.86,0.0,0.08,0.09,0.12,0.18
44,NKE,1302,merge_2,0.14,0.86,0.0,0.08,0.09,0.12,0.18
45,NKE,1302,merge_3,0.14,0.86,0.0,0.08,0.09,0.12,0.18
46,NKE,1302,yesterday_strategy,0.33,0.43,0.24,-0.03,0.36,0.48,0.72
47,NKE,1302,trend,0.57,0,0.43,0.27,0.36,0.48,0.72
48,NKE,1344,no_merge,0.29,0.33,0.38,0.06,-0.35,-0.78,-0.54
49,NKE,1344,merge_1,0.29,0.33,0.38,0.06,-0.35,-0.78,-0.54
50,NKE,1344,merge_2,0.24,0.43,0.33,0.01,-0.41,-0.86,-0.66
51,NKE,1344,merge_3,0.24,0.43,0.33,0.01,-0.41,-0.86,-0.66
52,NKE,1344,yesterday_strategy,0.24,0.57,0.19,0.06,0.27,0.36,0.54
53,NKE,1344,trend,0.43,0,0.57,0.14,-0.5,-0.42,-0.26
54,NKE,1386,no_merge,0.52,0.29,0.19,0.14,0.45,0.6,0.9
55,NKE,1386,merge_1,0.48,0.43,0.1,0.18,0.36,0.48,0.72
56,NKE,1386,merge_2,0.43,0.48,0.1,0.16,0.33,0.44,0.66
57,NKE,1386,merge_3,0.43,0.48,0.1,0.16,0.33,0.44,0.66
58,NKE,1386,yesterday_strategy,0.33,0.43,0.24,-0.0,0.36,0.48,0.72
59,NKE,1386,trend,0.62,0,0.38,0.25,0.39,0.52,0.78
60,NKE,1428,no_merge,0.57,0.0,0.43,0.38,0.63,0.84,1.26
61,NKE,1428,merge_1,0.57,0.0,0.43,0.38,0.63,0.84,1.26
62,NKE,1428,merge_2,0.52,0.05,0.43,0.29,0.6,0.8,1.2
63,NKE,1428,merge_3,0.52,0.14,0.33,0.48,0.54,0.72,1.08
64,NKE,1428,yesterday_strategy,0.33,0.43,0.24,0.19,0.36,0.48,0.72
65,NKE,1428,trend,0.57,0,0.43,0.59,0.36,0.48,0.72
66,NKE,1470,no_merge,0.38,0.38,0.24,0.12,0.39,0.52,0.78
67,NKE,1470,merge_1,0.38,0.48,0.14,0.24,0.33,0.44,0.66
68,NKE,1470,merge_2,0.38,0.48,0.14,0.24,0.33,0.44,0.66
69,NKE,1470,merge_3,0.38,0.48,0.14,0.24,0.33,0.44,0.66
70,NKE,1470,yesterday_strategy,0.14,0.52,0.33,-0.12,0.3,0.4,0.6
71,NKE,1470,trend,0.43,0,0.57,0.31,0.27,0.36,0.54
