,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,PG,1008,no_merge,0.24,0.33,0.43,-0.12,-1.64,-1.52,-1.28
1,PG,1008,merge_0,0.24,0.33,0.43,-0.12,-1.64,-1.52,-1.28
2,PG,1008,merge_1,0.24,0.29,0.48,-0.12,-0.58,-0.44,-0.16
3,PG,1008,merge_2,0.24,0.33,0.43,-0.13,-1.64,-1.52,-1.28
4,PG,1008,merge_3,0.24,0.33,0.43,-0.11,-1.64,-1.52,-1.28
5,PG,1008,yesterday_strategy,0.14,0.67,0.19,-0.11,-0.82,-0.76,-0.64
6,PG,1008,trend,0.33,0,0.67,-0.09,-0.82,-0.76,-0.64
7,PG,1050,no_merge,0.29,0.29,0.43,0.01,0.45,0.6,0.9
8,PG,1050,merge_0,0.29,0.29,0.43,0.01,0.45,0.6,0.9
9,PG,1050,merge_1,0.14,0.43,0.43,-0.11,0.36,0.48,0.72
10,PG,1050,merge_2,0.29,0.43,0.29,0.05,0.36,0.48,0.72
11,PG,1050,merge_3,0.24,0.38,0.38,0.0,0.39,0.52,0.78
12,PG,1050,yesterday_strategy,0.14,0.62,0.24,-0.01,0.24,0.32,0.48
13,PG,1050,trend,0.43,0,0.57,-0.06,0.27,0.36,0.54
14,PG,1092,no_merge,0.29,0.33,0.38,-0.1,0.42,-0.06,-0.27
15,PG,1092,merge_0,0.29,0.33,0.38,-0.1,0.42,-0.06,-0.27
16,PG,1092,merge_1,0.19,0.43,0.38,-0.1,-0.04,0.07,-0.17
17,PG,1092,merge_2,0.33,0.29,0.38,-0.11,0.05,-0.44,-0.64
18,PG,1092,merge_3,0.38,0.38,0.24,-0.01,0.39,0.52,0.32
19,PG,1092,yesterday_strategy,0.33,0.52,0.14,0.03,-0.5,-1.03,-1.03
20,PG,1092,trend,0.43,0,0.57,0.07,0.27,-0.26,-0.26
21,PG,1134,no_merge,0.1,0.76,0.14,0.12,-0.18,-0.14,-0.06
22,PG,1134,merge_0,0.1,0.76,0.14,0.12,-0.18,-0.14,-0.06
23,PG,1134,merge_1,0.19,0.67,0.14,0.17,-0.13,-0.07,0.05
24,PG,1134,merge_2,0.14,0.71,0.14,0.12,-0.15,-0.1,-0.0
25,PG,1134,merge_3,0.19,0.62,0.19,0.1,-0.09,-0.02,0.12
26,PG,1134,yesterday_strategy,0.19,0.62,0.19,0.06,-0.43,-0.37,-0.25
27,PG,1134,trend,0.38,0,0.62,0.06,-0.43,-0.37,-0.25
28,PG,1176,no_merge,0.38,0.29,0.33,0.0,-0.58,-0.78,-0.52
29,PG,1176,merge_0,0.38,0.29,0.33,0.0,-0.58,-0.78,-0.52
30,PG,1176,merge_1,0.38,0.38,0.24,0.06,-1.38,-1.27,-1.05
31,PG,1176,merge_2,0.38,0.29,0.33,-0.01,-0.58,-0.78,-0.52
32,PG,1176,merge_3,0.29,0.38,0.33,-0.03,-0.64,-0.86,-0.64
33,PG,1176,yesterday_strategy,0.24,0.43,0.33,0.06,0.36,0.48,0.72
34,PG,1176,trend,0.52,0,0.48,0.01,0.33,0.44,0.66
35,PG,1218,no_merge,0.19,0.62,0.19,0.04,0.24,0.32,0.48
36,PG,1218,merge_0,0.19,0.62,0.19,0.04,0.24,0.32,0.48
37,PG,1218,merge_1,0.1,0.76,0.14,0.01,0.15,0.2,0.3
38,PG,1218,merge_2,0.33,0.57,0.1,0.11,0.27,0.36,0.54
39,PG,1218,merge_3,0.33,0.48,0.19,0.11,0.33,0.44,0.66
40,PG,1218,yesterday_strategy,0.29,0.48,0.24,0.14,-0.57,-0.47,-0.27
41,PG,1218,trend,0.52,0,0.48,0.06,-0.57,-0.47,-0.27
42,PG,1260,no_merge,0.29,0.52,0.19,0.13,-0.14,-0.05,0.07
43,PG,1260,merge_0,0.29,0.52,0.19,0.13,-0.14,-0.05,0.07
44,PG,1260,merge_1,0.19,0.57,0.24,0.04,-0.76,-0.68,-0.58
45,PG,1260,merge_2,0.1,0.67,0.24,-0.04,-1.26,-1.21,-1.17
46,PG,1260,merge_3,0.0,0.81,0.19,-0.1,-0.91,-0.88,-0.82
47,PG,1260,yesterday_strategy,0.1,0.67,0.24,-0.12,-0.52,-0.46,-0.34
48,PG,1260,trend,0.38,0,0.62,-0.12,-0.49,-0.42,-0.28
49,PG,1302,no_merge,0.1,0.81,0.1,0.02,-0.52,-0.49,-0.43
50,PG,1302,merge_0,0.1,0.81,0.1,0.02,-0.52,-0.49,-0.43
51,PG,1302,merge_1,0.33,0.38,0.29,0.04,-1.28,-1.73,-1.53
52,PG,1302,merge_2,0.14,0.71,0.14,0.04,-0.46,-0.41,-0.31
53,PG,1302,merge_3,0.24,0.62,0.14,0.15,-1.43,-1.37,-1.25
