,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,TRV,1008,no_merge,0.19,0.19,0.62,-0.23,-0.21,-0.05,0.27
1,TRV,1008,merge_0,0.19,0.19,0.62,-0.23,-0.21,-0.05,0.27
2,TRV,1008,merge_1,0.19,0.38,0.43,-0.12,-0.33,-0.21,0.03
3,TRV,1008,merge_2,0.14,0.29,0.57,-0.25,-1.3,-1.17,-0.91
4,TRV,1008,merge_3,0.14,0.29,0.57,-0.25,-1.3,-1.17,-0.91
5,TRV,1008,yesterday_strategy,0.1,0.81,0.1,0.0,0.12,0.16,0.24
6,TRV,1008,trend,0.24,0,0.76,-0.01,0.15,0.2,0.3
7,TRV,1050,no_merge,0.14,0.71,0.14,-0.09,0.18,0.24,0.36
8,TRV,1050,merge_0,0.14,0.71,0.14,-0.09,0.18,0.24,0.36
9,TRV,1050,merge_1,0.19,0.62,0.19,-0.07,0.24,0.32,-0.25
10,TRV,1050,merge_2,0.19,0.57,0.24,-0.11,0.27,0.36,-0.19
11,TRV,1050,merge_3,0.19,0.57,0.24,-0.1,0.27,0.36,-0.19
12,TRV,1050,yesterday_strategy,0.24,0.48,0.29,-0.2,0.33,0.44,-0.07
13,TRV,1050,trend,0.52,0,0.48,-0.2,0.33,0.44,-0.07
14,TRV,1092,no_merge,0.43,0.29,0.29,0.04,0.02,0.16,0.44
15,TRV,1092,merge_0,0.43,0.29,0.29,0.04,0.02,0.16,0.44
16,TRV,1092,merge_1,0.14,0.71,0.14,0.02,0.18,0.24,0.36
17,TRV,1092,merge_2,0.38,0.38,0.24,0.06,0.39,0.52,0.78
18,TRV,1092,merge_3,0.29,0.57,0.14,0.02,0.27,0.36,0.54
19,TRV,1092,yesterday_strategy,0.43,0.29,0.29,0.1,0.45,0.6,0.9
20,TRV,1092,trend,0.67,0,0.33,0.12,0.42,0.56,0.84
21,TRV,1134,no_merge,0.24,0.62,0.14,0.08,0.24,0.32,0.48
22,TRV,1134,merge_0,0.24,0.62,0.14,0.08,0.24,0.32,0.48
23,TRV,1134,merge_1,0.24,0.62,0.14,0.07,0.24,0.32,0.48
24,TRV,1134,merge_2,0.19,0.67,0.14,0.09,0.21,0.28,0.42
25,TRV,1134,merge_3,0.19,0.76,0.05,0.08,0.15,0.2,0.3
26,TRV,1134,yesterday_strategy,0.33,0.43,0.24,0.02,0.36,0.48,-0.21
27,TRV,1134,trend,0.62,0,0.38,-0.01,0.39,0.52,-0.15
28,TRV,1176,no_merge,0.38,0.48,0.14,0.09,0.33,-0.6,-0.4
29,TRV,1176,merge_0,0.38,0.48,0.14,0.09,0.33,-0.6,-0.4
30,TRV,1176,merge_1,0.14,0.67,0.19,-0.1,0.21,-0.76,-1.46
31,TRV,1176,merge_2,0.38,0.48,0.14,0.08,0.33,-0.6,-0.4
32,TRV,1176,merge_3,0.48,0.33,0.19,0.12,0.42,-0.48,-1.04
33,TRV,1176,yesterday_strategy,0.24,0.43,0.33,-0.14,-0.67,-1.6,-2.22
34,TRV,1176,trend,0.57,0,0.43,-0.14,-0.67,-1.6,-2.22
35,TRV,1218,no_merge,0.33,0.52,0.14,0.1,0.3,0.4,0.6
36,TRV,1218,merge_0,0.33,0.52,0.14,0.1,0.3,0.4,0.6
