,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,V,1008,no_merge,0.14,0.52,0.33,-0.17,-0.73,-0.64,-0.46
1,V,1008,merge_0,0.14,0.52,0.33,-0.17,-0.73,-0.64,-0.46
2,V,1008,merge_1,0.29,0.33,0.38,0.17,-0.61,-0.48,-0.22
3,V,1008,merge_2,0.38,0.29,0.33,0.23,-0.58,-0.44,-0.16
4,V,1008,merge_3,0.14,0.62,0.24,-0.07,-0.79,-0.72,-0.58
5,V,1008,yesterday_strategy,0.14,0.62,0.24,-0.15,-0.79,-0.72,-0.58
6,V,1008,trend,0.43,0,0.57,-0.14,-0.76,-0.68,-0.52
7,V,1050,no_merge,0.33,0.05,0.62,-0.29,-0.43,-0.24,0.14
8,V,1050,merge_0,0.33,0.05,0.62,-0.29,-0.43,-0.24,0.14
9,V,1050,merge_1,0.33,0.0,0.67,-0.29,-0.4,-0.2,0.2
10,V,1050,merge_2,0.29,0.1,0.62,-0.25,-0.46,-0.28,0.08
11,V,1050,merge_3,0.33,0.05,0.62,-0.29,-0.43,-0.24,0.14
12,V,1050,yesterday_strategy,0.1,0.62,0.29,-0.15,-0.79,-0.72,-0.58
13,V,1050,trend,0.33,0,0.67,-0.15,-0.82,-0.76,-0.64
14,V,1092,no_merge,0.33,0.52,0.14,0.03,-0.06,0.03,0.21
15,V,1092,merge_0,0.33,0.52,0.14,0.03,-0.06,0.03,0.21
16,V,1092,merge_1,0.38,0.48,0.14,0.08,0.33,0.44,0.66
17,V,1092,merge_2,0.14,0.67,0.19,-0.07,-0.15,-0.61,-0.51
18,V,1092,merge_3,0.14,0.71,0.14,-0.06,0.18,0.24,0.36
19,V,1092,yesterday_strategy,0.38,0.38,0.24,0.03,-1.0,-0.89,-0.67
20,V,1092,trend,0.62,0,0.38,0.06,-1.0,-0.89,-0.67
21,V,1134,no_merge,0.33,0.33,0.33,0.02,0.42,0.56,-0.22
22,V,1134,merge_0,0.33,0.33,0.33,0.02,0.42,0.56,-0.22
23,V,1134,merge_1,0.38,0.33,0.29,0.07,0.42,0.56,-0.22
24,V,1134,merge_2,0.33,0.33,0.33,0.05,0.42,0.56,0.84
25,V,1134,merge_3,0.19,0.57,0.24,0.03,0.27,0.36,0.54
26,V,1134,yesterday_strategy,0.19,0.52,0.29,-0.04,-0.73,-0.64,-2.28
27,V,1134,trend,0.52,0,0.48,-0.06,-0.7,-0.6,-2.22
28,V,1176,no_merge,0.33,0.43,0.24,0.02,-0.48,-0.37,-0.15
29,V,1176,merge_0,0.33,0.43,0.24,0.02,-0.48,-0.37,-0.15
