,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,WBA,1008,no_merge,0.14,0.62,0.24,-0.12,0.24,0.32,0.48
1,WBA,1008,merge_0,0.14,0.62,0.24,-0.12,0.24,0.32,0.48
2,WBA,1008,merge_1,0.14,0.76,0.1,0.1,0.15,0.2,0.3
3,WBA,1008,merge_2,0.24,0.62,0.14,0.32,0.24,0.32,0.48
4,WBA,1008,merge_3,0.1,0.71,0.19,0.05,0.18,0.24,0.36
5,WBA,1008,yesterday_strategy,0.19,0.62,0.19,0.05,0.24,0.32,0.48
6,WBA,1008,trend,0.43,0,0.57,0.05,0.27,0.36,0.54
7,WBA,1050,no_merge,0.19,0.67,0.14,-0.01,0.21,0.28,0.42
8,WBA,1050,merge_0,0.19,0.67,0.14,-0.01,0.21,0.28,0.42
9,WBA,1050,merge_1,0.1,0.62,0.29,-0.16,0.24,0.32,0.48
10,WBA,1050,merge_2,0.19,0.52,0.29,-0.14,0.3,0.4,0.6
11,WBA,1050,merge_3,0.14,0.48,0.38,-0.14,0.33,0.44,0.66
12,WBA,1050,yesterday_strategy,0.24,0.57,0.19,0.03,0.27,0.36,0.54
13,WBA,1050,trend,0.38,0,0.62,0.07,0.24,0.32,0.48
14,WBA,1092,no_merge,0.05,0.9,0.05,0.08,0.06,0.08,0.12
15,WBA,1092,merge_0,0.05,0.9,0.05,0.08,0.06,0.08,0.12
16,WBA,1092,merge_1,0.14,0.76,0.1,0.2,0.15,0.2,0.3
17,WBA,1092,merge_2,0.05,0.9,0.05,0.09,0.06,0.08,0.12
18,WBA,1092,merge_3,0.0,0.95,0.05,-0.05,0.03,0.04,0.06
19,WBA,1092,yesterday_strategy,0.14,0.52,0.33,0.19,0.3,0.4,0.6
20,WBA,1092,trend,0.43,0,0.57,0.24,0.27,0.36,0.54
21,WBA,1134,no_merge,0.33,0.52,0.14,0.2,0.3,0.4,-0.46
22,WBA,1134,merge_0,0.33,0.52,0.14,0.2,0.3,0.4,-0.46
23,WBA,1134,merge_1,0.29,0.48,0.24,-0.08,0.33,0.44,-0.4
24,WBA,1134,merge_2,0.33,0.52,0.14,0.17,0.3,0.4,-0.46
25,WBA,1134,merge_3,0.43,0.43,0.14,0.37,0.36,0.48,-0.34
26,WBA,1134,yesterday_strategy,0.29,0.43,0.29,0.14,0.36,0.48,-0.1
27,WBA,1134,trend,0.62,0,0.38,0.09,0.39,0.52,-0.04
28,WBA,1176,no_merge,0.14,0.62,0.24,-0.09,-1.37,-1.31,-1.19
29,WBA,1176,merge_0,0.14,0.62,0.24,-0.09,-1.37,-1.31,-1.19
30,WBA,1176,merge_1,0.14,0.67,0.19,-0.04,-1.4,-1.35,-1.25
