,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,WMT,1008,no_merge,0.24,0.43,0.33,-0.1,-1.04,-0.94,-0.74
1,WMT,1008,merge_1,0.24,0.43,0.33,-0.1,-1.04,-0.94,-0.74
2,WMT,1008,merge_2,0.24,0.43,0.33,-0.1,-1.04,-0.94,-0.74
3,WMT,1008,merge_3,0.24,0.43,0.33,-0.1,-1.04,-0.94,-0.74
4,WMT,1008,yesterday_strategy,0.0,0.71,0.29,-0.08,-0.7,-0.65,-0.55
5,WMT,1008,trend,0.24,0,0.76,-0.07,-0.73,-0.69,-0.61
6,WMT,1050,no_merge,0.43,0.48,0.1,0.13,-0.21,-0.11,0.09
7,WMT,1050,merge_1,0.38,0.57,0.05,0.12,0.27,0.36,0.54
8,WMT,1050,merge_2,0.38,0.57,0.05,0.12,0.27,0.36,0.54
9,WMT,1050,merge_3,0.38,0.57,0.05,0.12,0.27,0.36,0.54
10,WMT,1050,yesterday_strategy,0.38,0.43,0.19,0.02,-0.18,-0.07,0.15
11,WMT,1050,trend,0.62,0,0.38,0.0,-0.15,-0.03,0.21
12,WMT,1092,no_merge,0.33,0.33,0.33,0.17,-0.0,0.13,0.39
13,WMT,1092,merge_1,0.33,0.38,0.29,0.19,0.39,0.52,0.78
14,WMT,1092,merge_2,0.33,0.38,0.29,0.19,0.39,0.52,0.78
15,WMT,1092,merge_3,0.33,0.38,0.29,0.19,0.39,0.52,0.78
16,WMT,1092,yesterday_strategy,0.1,0.71,0.19,0.07,-0.5,-0.45,-0.35
17,WMT,1092,trend,0.33,0,0.67,0.09,-0.47,-0.41,-0.29
18,WMT,1134,no_merge,0.29,0.43,0.29,0.15,0.36,0.48,0.72
19,WMT,1134,merge_1,0.24,0.52,0.24,0.16,0.3,0.4,0.6
20,WMT,1134,merge_2,0.19,0.62,0.19,0.14,0.24,0.32,0.48
21,WMT,1134,merge_3,0.19,0.62,0.19,0.14,0.24,0.32,0.48
22,WMT,1134,yesterday_strategy,0.19,0.62,0.19,0.08,0.24,0.32,0.48
23,WMT,1134,trend,0.33,0,0.67,0.05,0.21,0.28,0.42
24,WMT,1176,no_merge,0.05,0.9,0.05,-0.02,0.06,0.08,0.12
25,WMT,1176,merge_1,0.05,0.95,0.0,0.0,0.03,0.04,0.06
26,WMT,1176,merge_2,0.05,0.95,0.0,0.0,0.03,0.04,0.06
27,WMT,1176,merge_3,0.05,0.95,0.0,0.0,0.03,0.04,0.06
28,WMT,1176,yesterday_strategy,0.14,0.52,0.33,-0.03,0.3,0.4,0.6
29,WMT,1176,trend,0.48,0,0.52,-0.01,0.3,0.4,0.6
30,WMT,1218,no_merge,0.62,0.29,0.1,0.4,-0.22,-0.21,0.05
31,WMT,1218,merge_1,0.57,0.33,0.1,0.28,-0.25,-0.25,-0.01
32,WMT,1218,merge_2,0.57,0.33,0.1,0.28,-0.25,-0.25,-0.01
33,WMT,1218,merge_3,0.57,0.33,0.1,0.28,-0.25,-0.25,-0.01
34,WMT,1218,yesterday_strategy,0.57,0.24,0.19,0.41,-0.71,-1.05,-0.79
35,WMT,1218,trend,0.81,0,0.19,0.36,-0.68,-1.01,-1.79
36,WMT,1260,no_merge,0.38,0.48,0.14,0.3,0.33,0.44,0.66
37,WMT,1260,merge_1,0.29,0.57,0.14,0.23,0.27,0.36,0.54
38,WMT,1260,merge_2,0.24,0.62,0.14,0.16,0.24,0.32,0.48
39,WMT,1260,merge_3,0.24,0.62,0.14,0.16,0.24,0.32,0.48
40,WMT,1260,yesterday_strategy,0.24,0.48,0.29,-0.0,0.33,0.44,0.66
41,WMT,1260,trend,0.52,0,0.48,0.03,0.33,0.44,0.66
42,WMT,1302,no_merge,0.24,0.67,0.1,0.18,0.21,-0.19,-0.07
43,WMT,1302,merge_1,0.24,0.67,0.1,0.18,0.21,-0.19,-0.07
44,WMT,1302,merge_2,0.24,0.67,0.1,0.18,0.21,-0.19,-0.07
45,WMT,1302,merge_3,0.24,0.67,0.1,0.18,0.21,-0.19,-0.07
46,WMT,1302,yesterday_strategy,0.1,0.57,0.33,-0.05,0.27,-0.11,0.05
47,WMT,1302,trend,0.43,0,0.57,-0.08,0.27,-0.11,0.05
48,WMT,1344,no_merge,0.1,0.9,0.0,0.05,0.06,0.08,0.12
49,WMT,1344,merge_1,0.1,0.9,0.0,0.05,0.06,0.08,0.12
50,WMT,1344,merge_2,0.1,0.9,0.0,0.05,0.06,0.08,0.12
51,WMT,1344,merge_3,0.1,0.9,0.0,0.05,0.06,0.08,0.12
52,WMT,1344,yesterday_strategy,0.14,0.52,0.33,-0.1,0.3,0.4,0.6
53,WMT,1344,trend,0.48,0,0.52,-0.1,0.3,0.4,0.6
54,WMT,1386,no_merge,0.33,0.43,0.24,0.05,0.36,0.48,0.72
55,WMT,1386,merge_1,0.24,0.52,0.24,0.03,0.3,0.4,0.6
56,WMT,1386,merge_2,0.24,0.57,0.19,0.04,0.27,0.36,0.54
57,WMT,1386,merge_3,0.24,0.57,0.19,0.04,0.27,0.36,0.54
58,WMT,1386,yesterday_strategy,0.19,0.57,0.24,0.01,0.27,0.36,0.54
59,WMT,1386,trend,0.43,0,0.57,0.01,0.27,0.36,0.54
60,WMT,1428,no_merge,0.1,0.9,0.0,0.1,0.06,0.08,0.12
61,WMT,1428,merge_1,0.05,0.95,0.0,0.09,0.03,0.04,0.06
62,WMT,1428,merge_2,0.05,0.95,0.0,0.09,0.03,0.04,0.06
63,WMT,1428,merge_3,0.05,0.95,0.0,0.09,0.03,0.04,0.06
64,WMT,1428,yesterday_strategy,0.19,0.48,0.33,-0.05,0.33,-0.17,0.03
65,WMT,1428,trend,0.52,0,0.48,-0.02,0.33,-0.17,0.03
66,WMT,1470,no_merge,0.24,0.71,0.05,0.23,0.18,0.24,0.36
67,WMT,1470,merge_1,0.24,0.71,0.05,0.23,0.18,0.24,0.36
68,WMT,1470,merge_2,0.19,0.76,0.05,0.1,0.15,0.2,0.3
69,WMT,1470,merge_3,0.19,0.76,0.05,0.1,0.15,0.2,0.3
70,WMT,1470,yesterday_strategy,0.29,0.43,0.29,-0.01,0.36,0.48,0.72
71,WMT,1470,trend,0.52,0,0.48,-0.05,0.33,0.44,0.66
