,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,AXP,1008,no_merge,0.19,0.38,0.43,-0.3,-0.64,-0.52,-1.34
1,AXP,1008,merge_0,0.19,0.38,0.43,-0.3,-0.64,-0.52,-1.34
2,AXP,1008,merge_1,0.24,0.43,0.33,-0.16,-0.67,-0.56,-0.34
3,AXP,1008,merge_2,0.19,0.43,0.38,-0.25,-0.67,-0.56,-1.4
4,AXP,1008,merge_3,0.19,0.38,0.43,-0.26,-0.64,-0.52,-1.34
5,AXP,1008,yesterday_strategy,0.1,0.67,0.24,-0.27,0.21,0.28,0.42
6,AXP,1008,trend,0.38,0,0.62,-0.23,0.24,0.32,0.48
7,AXP,1050,no_merge,0.24,0.48,0.29,-0.08,0.33,0.44,0.66
8,AXP,1050,merge_0,0.24,0.48,0.29,-0.08,0.33,0.44,0.66
9,AXP,1050,merge_1,0.24,0.33,0.43,-0.22,0.42,0.56,0.11
10,AXP,1050,merge_2,0.24,0.57,0.19,-0.04,0.27,0.36,0.54
11,AXP,1050,merge_3,0.29,0.57,0.14,0.05,0.27,0.36,0.54
12,AXP,1050,yesterday_strategy,0.1,0.57,0.33,-0.18,0.27,0.36,-0.19
13,AXP,1050,trend,0.43,0,0.57,-0.18,0.27,0.36,-0.19
14,AXP,1092,no_merge,0.38,0.33,0.29,0.08,0.42,0.56,0.51
15,AXP,1092,merge_0,0.38,0.33,0.29,0.08,0.42,0.56,0.51
16,AXP,1092,merge_1,0.43,0.29,0.29,0.17,0.45,0.6,0.57
17,AXP,1092,merge_2,0.43,0.29,0.29,0.2,0.45,0.6,0.57
18,AXP,1092,merge_3,0.43,0.29,0.29,0.12,0.45,0.6,0.57
19,AXP,1092,yesterday_strategy,0.57,0.29,0.14,0.15,-0.58,-0.44,-0.49
20,AXP,1092,trend,0.71,0,0.29,0.24,0.45,0.6,0.57
21,AXP,1134,no_merge,0.1,0.52,0.38,-0.17,0.3,0.4,0.6
22,AXP,1134,merge_0,0.1,0.52,0.38,-0.17,0.3,0.4,0.6
23,AXP,1134,merge_1,0.19,0.48,0.33,-0.09,0.33,0.44,0.66
